scenario_id,budget_flops,context_length_tokens,g_function,q0_reference,betaQ_identified,betaQ_status,betaQ_first_positive_Q,betaQcrit_first_ND_reallocation,betaQ_units,fixed_Q0_baseline_run_id,fixed_Q0_baseline_loss,first_positive_Q_run_id,first_positive_Q_N_B,first_positive_Q_D_B,first_positive_Q_level,first_reallocated_run_id,first_reallocated_N_B,first_reallocated_D_B,first_reallocated_Q,conditional_envelope_segments,positive_Q_segments_on_envelope,B1_feasible_ND_points,model_scope,conditional_assumption
B1e22_C8192_power4,10000000000000000000000,8192,power4,0.49847810484764643,false,finite_first_ND_reallocation,0.0,0.010055154805286678,validation-loss units per one Q-score unit,1025,2.159845165552461,1025,6.86104,188.744,0.6482872894624815,1024,6.86104,186.647,0.737406236775096,8,8,1032,conditional Q-only response; p excluded; B1/M0 support grid,"L_cond = L_M0(N,D) - beta_Q*(Q-Q0), beta_Q >= 0"
B1e22_C8192_logarithmic,10000000000000000000000,8192,logarithmic,0.49847810484764643,false,finite_first_ND_reallocation,0.0,0.0032408981300743327,validation-loss units per one Q-score unit,1025,2.159845165552461,1025,6.86104,188.744,0.6976056426943272,1024,6.86104,186.647,0.9741045560655948,3,3,1032,conditional Q-only response; p excluded; B1/M0 support grid,"L_cond = L_M0(N,D) - beta_Q*(Q-Q0), beta_Q >= 0"
B1e22_C32768_exponential,10000000000000000000000,32768,exponential,0.49847810484764643,false,finite_first_ND_reallocation,0.0,0.005396994769400347,validation-loss units per one Q-score unit,917,2.194660077531802,917,2.782831,285.213,0.5807176002054502,916,2.782831,283.116,0.6783685827281035,15,15,969,conditional Q-only response; p excluded; B1/M0 support grid,"L_cond = L_M0(N,D) - beta_Q*(Q-Q0), beta_Q >= 0"
B1e22_C32768_power4,10000000000000000000000,32768,power4,0.49847810484764643,false,finite_first_ND_reallocation,0.0,0.007823269921555544,validation-loss units per one Q-score unit,917,2.194660077531802,917,2.782831,285.213,0.5433123794755709,916,2.782831,283.116,0.6106783079410397,17,17,969,conditional Q-only response; p excluded; B1/M0 support grid,"L_cond = L_M0(N,D) - beta_Q*(Q-Q0), beta_Q >= 0"
B1e22_C32768_logarithmic,10000000000000000000000,32768,logarithmic,0.49847810484764643,false,finite_first_ND_reallocation,0.0,0.0047839817512227035,validation-loss units per one Q-score unit,917,2.194660077531802,917,2.782831,285.213,0.5377038780175888,913,2.782831,276.824,0.984781718117179,3,3,969,conditional Q-only response; p excluded; B1/M0 support grid,"L_cond = L_M0(N,D) - beta_Q*(Q-Q0), beta_Q >= 0"
B1e22_C131072_exponential,10000000000000000000000,131072,exponential,0.49847810484764643,false,finite_first_ND_reallocation,0.0,0.007272994083595964,validation-loss units per one Q-score unit,834,2.271590563800825,834,2.782831,111.149,0.6588989292349794,833,2.782831,109.052,0.9027701513174153,3,3,793,conditional Q-only response; p excluded; B1/M0 support grid,"L_cond = L_M0(N,D) - beta_Q*(Q-Q0), beta_Q >= 0"
B1e22_C131072_power4,10000000000000000000000,131072,power4,0.49847810484764643,false,finite_first_ND_reallocation,0.0,0.007613494764492535,validation-loss units per one Q-score unit,834,2.271590563800825,834,2.782831,111.149,0.5959787574582482,833,2.782831,109.052,0.8289432514560444,4,4,793,conditional Q-only response; p excluded; B1/M0 support grid,"L_cond = L_M0(N,D) - beta_Q*(Q-Q0), beta_Q >= 0"
B1e22_C131072_logarithmic,10000000000000000000000,131072,logarithmic,0.49847810484764643,false,finite_first_ND_reallocation,0.0,0.004468308165708353,validation-loss units per one Q-score unit,834,2.271590563800825,834,2.782831,111.149,0.6030546932781444,833,2.782831,109.052,1.0,2,2,793,conditional Q-only response; p excluded; B1/M0 support grid,"L_cond = L_M0(N,D) - beta_Q*(Q-Q0), beta_Q >= 0"
B1e24_C2048_exponential,1000000000000000000000000,2048,exponential,0.49847810484764643,false,no_finite_ND_reallocation,0.0,,validation-loss units per one Q-score unit,1232,2.093379471491827,1232,11.965825,299.893,1.0,,,,,1,1,1176,conditional Q-only response; p excluded; B1/M0 support grid,"L_cond = L_M0(N,D) - beta_Q*(Q-Q0), beta_Q >= 0"
B1e24_C2048_power4,1000000000000000000000000,2048,power4,0.49847810484764643,false,no_finite_ND_reallocation,0.0,,validation-loss units per one Q-score unit,1232,2.093379471491827,1232,11.965825,299.893,1.0,,,,,1,1,1176,conditional Q-only response; p excluded; B1/M0 support grid,"L_cond = L_M0(N,D) - beta_Q*(Q-Q0), beta_Q >= 0"
