q_response_source,kappa_Q_B1_anchored,quality_cost_function,budget_flops,context_length_tokens,source_support_grid_points,feasible_grid_points,source_N_min_B,source_N_max_B,source_D_min_B,source_D_max_B,global_M0_run_id,status,selected_run_id,selected_N_B,selected_D_B,selected_Q,predicted_loss,restricted_M0_run_id,restricted_M0_loss,delta_N_B_vs_restricted_M0,delta_D_B_vs_restricted_M0,delta_Q_vs_Q0,delta_loss_vs_restricted_M0,C_train_flops,C_Q_flops,C_attn_flops,C_total_flops,budget_utilization,budget_residual_flops,N_D_changed_vs_restricted_M0,at_Q0_boundary
B6_semi_synthetic,0.38300064456112093,power4,1000000000000000000000000,8192,1112,1112,0.07,11.97,10.0,600.0,1232,FEASIBLE,1232,11.965825,299.893,1.0,2.0345498945089004,1232,2.093379471491827,0.0,0.0,0.5015218951523536,-0.05882957698292657,21530802940350000000000,1.4068842528081754e+21,5.87934458957824e+21,2.8817031782736417e+22,0.028817031782736417,9.711829682172636e+23,False,False
B6_semi_synthetic,0.38300064456112093,power4,10000000000000000000,32768,1112,1,0.07,11.97,10.0,600.0,167,FEASIBLE,16,0.070542,10.486,0.523947564691822,3.192091206258027,16,3.204237726070806,0.0,0.0,0.02546945984417559,-0.012146519812779033,4438220472000000000,7.140592471167981e+17,4.8477202808832e+18,9.999999999999998e+18,0.9999999999999998,2048.0,False,False
B6_semi_synthetic,0.38300064456112093,power4,10000000000000000000000,32768,1112,905,0.07,11.97,10.0,600.0,917,FEASIBLE,987,6.86104,109.052,1.0,2.1292439915836017,917,2.194660077531802,4.078209,-176.161,0.5015218951523536,-0.06541608594820048,4489260804480000000000,5.115942737484274e+20,4.903469934706688e+21,9.904325012935116e+21,0.9904325012935116,9.567498706488394e+19,True,False
B6_semi_synthetic,0.38300064456112093,power4,1000000000000000000000000,32768,1112,1112,0.07,11.97,10.0,600.0,1232,FEASIBLE,1232,11.965825,299.893,1.0,2.0345498945089004,1232,2.093379471491827,0.0,0.0,0.5015218951523536,-0.05882957698292657,21530802940350000000000,1.4068842528081754e+21,2.351737835831296e+22,4.6455065551471135e+22,0.046455065551471136,9.535449344485289e+23,False,False
B6_semi_synthetic,0.38300064456112093,power4,10000000000000000000,131072,1112,0,0.07,11.97,10.0,600.0,13,INFEASIBLE,,,,,,,,,,,,,,,,,,,
B6_semi_synthetic,0.38300064456112093,power4,10000000000000000000000,131072,1112,729,0.07,11.97,10.0,600.0,834,FEASIBLE,831,2.782831,104.858,1.0,2.19810161613931,834,2.271590563800825,0.0,-6.290999999999997,0.5015218951523536,-0.07348894766151481,1750812557988000000000,4.919190143849961e+20,7.649416786686771e+21,9.892148359059768e+21,0.9892148359059768,1.0785164094023192e+20,True,False
B6_semi_synthetic,0.38300064456112093,power4,1000000000000000000000000,131072,1112,1112,0.07,11.97,10.0,600.0,1232,FEASIBLE,1232,11.965825,299.893,1.0,2.0345498945089004,1232,2.093379471491827,0.0,0.0,0.5015218951523536,-0.05882957698292657,21530802940350000000000,1.4068842528081754e+21,9.406951343325183e+22,1.1700720062641001e+23,0.11700720062641001,8.8299279937359e+23,False,False
B6_semi_synthetic,0.38300064456112093,logarithmic,10000000000000000000,2048,1112,6,0.07,11.97,10.0,600.0,169,FEASIBLE,21,0.070542,20.972,0.5059091525867696,3.087946463149851,21,3.090937259262238,0.0,0.0,0.0074310477391231755,-0.002990796112387173,8876440944000000000,5.1759402088959194e+17,6.059650351104e+17,9.999999999999992e+18,0.9999999999999992,8192.0,False,False
B6_semi_synthetic,0.38300064456112093,logarithmic,10000000000000000000000,2048,1112,996,0.07,11.97,10.0,600.0,1043,FEASIBLE,1040,6.86104,220.201,1.0,2.0836215037130374,1043,2.1456111666541906,0.0,-6.290999999999997,0.5015218951523536,-0.061989662941153156,9064847214240000000000,2.6806191540630048e+20,6.18826903158784e+20,9.951736032805085e+21,0.9951736032805085,4.826396719491475e+19,True,False
B6_semi_synthetic,0.38300064456112093,logarithmic,1000000000000000000000000,2048,1112,1112,0.07,11.97,10.0,600.0,1232,FEASIBLE,1232,11.965825,299.893,1.0,2.0345498945089004,1232,2.093379471491827,0.0,0.0,0.5015218951523536,-0.05882957698292657,21530802940350000000000,3.6507505414117864e+20,1.46983614739456e+21,2.336571414188574e+22,0.023365714141885742,9.766342858581142e+23,False,False
B6_semi_synthetic,0.38300064456112093,logarithmic,10000000000000000000,4096,1112,5,0.07,11.97,10.0,600.0,169,FEASIBLE,20,0.070542,18.874,0.5132573296560156,3.1007161802736154,20,3.1067815834917885,0.0,0.0,0.014779224808369129,-0.00606540321817306,7988458248000000000,9.208509192063922e+17,1.0906908327936e+18,9.999999999999992e+18,0.9999999999999992,8192.0,False,False
B6_semi_synthetic,0.38300064456112093,logarithmic,10000000000000000000000,4096,1112,985,0.07,11.97,10.0,600.0,1036,FEASIBLE,1034,6.86104,207.618,1.0,2.0871069018199866,1036,2.150758613533873,0.0,-4.194000000000017,0.5015218951523536,-0.06365171171388662,8546852416320000000000,2.527439873244231e+20,1.166930249908224e+21,9.966526653552648e+21,0.9966526653552648,3.3473346447352005e+19,True,False
B6_semi_synthetic,0.38300064456112093,logarithmic,1000000000000000000000000,4096,1112,1112,0.07,11.97,10.0,600.0,1232,FEASIBLE,1232,11.965825,299.893,1.0,2.0345498945089004,1232,2.093379471491827,0.0,0.0,0.5015218951523536,-0.05882957698292657,21530802940350000000000,3.6507505414117864e+20,2.93967229478912e+21,2.4835550289280297e+22,0.0248355502892803,9.751644497107197e+23,False,False
B6_semi_synthetic,0.38300064456112093,logarithmic,10000000000000000000,8192,1112,4,0.07,11.97,10.0,600.0,168,FEASIBLE,19,0.070542,16.777,0.5158497339648267,3.1177051963196267,19,3.125047735324993,0.0,0.0,0.017371629117180265,-0.007342539005366078,7100898804000000000,9.600824292543945e+17,1.9390187667456e+18,9.999999999999996e+18,0.9999999999999996,4096.0,False,False
B6_semi_synthetic,0.38300064456112093,logarithmic,10000000000000000000000,8192,1112,968,0.07,11.97,10.0,600.0,1025,FEASIBLE,1023,6.86104,184.549,1.0,2.09425863886294,1025,2.159845165552461,0.0,-4.194999999999993,0.5015218951523536,-0.06558652668952103,7597188425760000000000,2.246609162824753e+20,2.074538919460864e+21,9.89638826150334e+21,0.9896388261503339,1.0361173849666067e+20,True,False
B6_semi_synthetic,0.38300064456112093,logarithmic,1000000000000000000000000,8192,1112,1112,0.07,11.97,10.0,600.0,1232,FEASIBLE,1232,11.965825,299.893,1.0,2.0345498945089004,1232,2.093379471491827,0.0,0.0,0.5015218951523536,-0.05882957698292657,21530802940350000000000,3.6507505414117864e+20,5.87934458957824e+21,2.777522258406942e+22,0.02777522258406942,9.722247774159306e+23,False,False
B6_semi_synthetic,0.38300064456112093,logarithmic,10000000000000000000,32768,1112,1,0.07,11.97,10.0,600.0,167,FEASIBLE,16,0.070542,10.486,0.5192060914661758,3.194289811727567,16,3.204237726070806,0.0,0.0,0.02072798661852937,-0.009947914343239272,4438220472000000000,7.140592471167949e+17,4.8477202808832e+18,9.999999999999996e+18,0.9999999999999996,4096.0,False,False
B6_semi_synthetic,0.38300064456112093,logarithmic,10000000000000000000000,32768,1112,905,0.07,11.97,10.0,600.0,917,FEASIBLE,989,6.86104,113.246,1.0,2.126559328719622,917,2.194660077531802,4.078209,-171.96700000000004,0.5015218951523536,-0.06810074881218009,4661912015040000000000,1.3786013538586067e+20,5.092051096961024e+21,9.891823247386885e+21,0.9891823247386885,1.0817675261311451e+20,True,False
B6_semi_synthetic,0.38300064456112093,logarithmic,1000000000000000000000000,32768,1112,1112,0.07,11.97,10.0,600.0,1232,FEASIBLE,1232,11.965825,299.893,1.0,2.0345498945089004,1232,2.093379471491827,0.0,0.0,0.5015218951523536,-0.05882957698292657,21530802940350000000000,3.6507505414117864e+20,2.351737835831296e+22,4.541325635280413e+22,0.04541325635280413,9.545867436471959e+23,False,False
B6_semi_synthetic,0.38300064456112093,logarithmic,10000000000000000000,131072,1112,0,0.07,11.97,10.0,600.0,13,INFEASIBLE,,,,,,,,,,,,,,,,,,,
