split,role,model,target,n,mae,rmse,r2,spearman_rho,variant
estimate_10b,estimate_consistency_only,simplex_ridge,metric/the_pile_hackernews_val_loss,63,3.5690865093649426,3.5830871466003065,-434.6009785110925,0.19417242703533025,raw
estimate_10b,estimate_consistency_only,simplex_ridge,metric/the_pile_pubmed_abstracts_val_loss,63,3.6324850023764075,3.653816334327776,-288.25602100291314,0.3317012288786482,raw
estimate_10b,estimate_consistency_only,simplex_ridge,metric/the_pile_uspto_backgrounds_val_loss,63,3.4336765930542623,3.4500026011598486,-236.08739980720253,0.4431696809276611,raw
estimate_10b,estimate_consistency_only,simplex_huber_ridge_sensitivity,metric/the_pile_arxiv_val_loss,63,3.3124051760932534,3.3613367338319735,-119.85154170404675,0.6723310291858678,closed
estimate_10b,estimate_consistency_only,simplex_huber_ridge_sensitivity,metric/the_pile_freelaw_val_loss,63,3.413069750106376,3.4521938496979176,-124.58379101840087,0.719518049155146,closed
estimate_10b,estimate_consistency_only,simplex_huber_ridge_sensitivity,metric/the_pile_pubmed_central_val_loss,63,3.4385575072390404,3.4705391034992132,-191.81142463313077,0.679915514592934,closed
estimate_10b,estimate_consistency_only,simplex_huber_ridge_sensitivity,metric/the_pile_wikipedia_en_val_loss,63,3.8696403562532935,3.884761619785559,-283.2645737746651,0.40957204245770346,closed
estimate_10b,estimate_consistency_only,simplex_huber_ridge_sensitivity,metric/the_pile_dm_mathematics_val_loss,63,2.7322967354537426,2.8026822028379725,-42.812814438311044,0.6098310291858678,closed
estimate_10b,estimate_consistency_only,simplex_huber_ridge_sensitivity,metric/the_pile_github_val_loss,63,3.631635860769671,3.67135038149083,-180.2404643908967,0.6081029185867896,closed
estimate_10b,estimate_consistency_only,simplex_huber_ridge_sensitivity,metric/the_pile_stackexchange_val_loss,63,3.5620294454668797,3.583322569278175,-358.1776971692428,0.5240558282806842,closed
estimate_10b,estimate_consistency_only,simplex_huber_ridge_sensitivity,metric/the_pile_gutenberg_pg_19_val_loss,63,3.5671071988121725,3.58116870365364,-279.4225516911026,0.5062884024577573,closed
estimate_10b,estimate_consistency_only,simplex_huber_ridge_sensitivity,metric/the_pile_pile_cc_val_loss,63,3.7953877255555883,3.8061302504598884,-326.7213735517535,0.1518337173579109,closed
estimate_10b,estimate_consistency_only,simplex_huber_ridge_sensitivity,metric/the_pile_ubuntu_irc_val_loss,63,4.430284733022141,4.455094712965432,-205.71631090041285,0.5038882488479263,closed
estimate_10b,estimate_consistency_only,simplex_huber_ridge_sensitivity,metric/the_pile_hackernews_val_loss,63,3.5675681897145792,3.5815664989814096,-434.2313223991039,0.19676459293394777,closed
estimate_10b,estimate_consistency_only,simplex_huber_ridge_sensitivity,metric/the_pile_pubmed_abstracts_val_loss,63,3.6289229008365176,3.6501053547153006,-287.66875662495517,0.33030913978494625,closed
estimate_10b,estimate_consistency_only,simplex_huber_ridge_sensitivity,metric/the_pile_uspto_backgrounds_val_loss,63,3.432702109056268,3.4490177477570985,-235.95205903678726,0.43551309902688534,closed
estimate_10b,estimate_consistency_only,quadratic_ridge_sensitivity,metric/the_pile_arxiv_val_loss,63,3.330864341243914,3.3848187664054246,-121.54595825715062,0.7748655913978495,closed
estimate_10b,estimate_consistency_only,quadratic_ridge_sensitivity,metric/the_pile_freelaw_val_loss,63,3.464970584197903,3.4971236081601758,-127.87396963464974,0.7222542242703534,closed
estimate_10b,estimate_consistency_only,quadratic_ridge_sensitivity,metric/the_pile_pubmed_central_val_loss,63,3.4017175924044643,3.446281441050068,-189.1254968227188,0.6986847158218126,closed
estimate_10b,estimate_consistency_only,quadratic_ridge_sensitivity,metric/the_pile_wikipedia_en_val_loss,63,3.852213500633845,3.868969702388491,-280.9581473644548,0.3572234357652368,closed
estimate_10b,estimate_consistency_only,quadratic_ridge_sensitivity,metric/the_pile_dm_mathematics_val_loss,63,2.7242887431830796,2.808753136072222,-43.00282723943669,0.6862039170506913,closed
estimate_10b,estimate_consistency_only,quadratic_ridge_sensitivity,metric/the_pile_github_val_loss,63,3.6320296108004175,3.68057889934988,-181.15276250260575,0.7438076036866359,closed
estimate_10b,estimate_consistency_only,quadratic_ridge_sensitivity,metric/the_pile_stackexchange_val_loss,63,3.521772431756549,3.5611751108456304,-353.7514756365535,0.6062380741372869,closed
