split,role,model,target,n,mae,rmse,r2,spearman_rho,variant,nested_macro_normalized_rmse,outer_selected_lambdas,outer_selected_models
nested_cv_raw,out_of_fold,mean,metric/the_pile_stackexchange_val_loss,512,0.6329257614270023,0.7762259013335178,-0.0016953422199128543,-0.05895027685949589,raw,1.002920333223083,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_raw,out_of_fold,mean,metric/the_pile_gutenberg_pg_19_val_loss,512,0.3551652874733603,0.4360979068943323,-0.0046311654380035705,-0.08061844381958609,raw,1.002920333223083,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_raw,out_of_fold,mean,metric/the_pile_pile_cc_val_loss,512,0.26356238556388323,0.3211820261110914,-0.0047272952731112206,-0.09585223547443433,raw,1.002920333223083,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_raw,out_of_fold,mean,metric/the_pile_ubuntu_irc_val_loss,512,0.9246666239835248,1.0302381216378875,-0.0050677623359289825,-0.08511547108821647,raw,1.002920333223083,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_raw,out_of_fold,mean,metric/the_pile_hackernews_val_loss,512,0.280777324729376,0.3436902244334645,-0.007895454362938148,-0.1107212516228837,raw,1.002920333223083,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_raw,out_of_fold,mean,metric/the_pile_pubmed_abstracts_val_loss,512,0.47312673031908337,0.5859660770938662,-0.004538768943023852,-0.09919087808615899,raw,1.002920333223083,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_raw,out_of_fold,mean,metric/the_pile_uspto_backgrounds_val_loss,512,0.4593268681677901,0.5330066778182323,-0.008138151654629944,-0.11751844053999357,raw,1.002920333223083,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_raw,out_of_fold,reference_ols,metric/the_pile_arxiv_val_loss,512,0.5766563470204586,0.7334237233872216,0.47678220661589477,0.7595113282635814,raw,0.6342235746886887,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_raw,out_of_fold,reference_ols,metric/the_pile_freelaw_val_loss,512,0.43295852169052124,0.5023592340421451,0.5890657478081234,0.8027571962154244,raw,0.6342235746886887,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_raw,out_of_fold,reference_ols,metric/the_pile_pubmed_central_val_loss,512,0.5004596118303082,0.5918831011935421,0.5176618135196739,0.7704740947688857,raw,0.6342235746886887,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_raw,out_of_fold,reference_ols,metric/the_pile_wikipedia_en_val_loss,512,0.2484163086807876,0.30184655549118,0.674265588314508,0.8471183309300648,raw,0.6342235746886887,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_raw,out_of_fold,reference_ols,metric/the_pile_dm_mathematics_val_loss,512,1.1079625245775362,1.2091620269296406,0.3781386963723504,0.7143565248738284,raw,0.6342235746886887,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_raw,out_of_fold,reference_ols,metric/the_pile_github_val_loss,512,0.5829242307374436,0.7191470923550272,0.5359796410668953,0.8088887494134881,raw,0.6342235746886887,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_raw,out_of_fold,reference_ols,metric/the_pile_stackexchange_val_loss,512,0.4234161828663475,0.5258509746862235,0.5402891434279524,0.8043008133919273,raw,0.6342235746886887,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_raw,out_of_fold,reference_ols,metric/the_pile_gutenberg_pg_19_val_loss,512,0.19319241140775587,0.2475706571337956,0.6762297198751133,0.8772587862349939,raw,0.6342235746886887,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_raw,out_of_fold,reference_ols,metric/the_pile_pile_cc_val_loss,512,0.1294895547127596,0.15933457190320943,0.7527332220908667,0.8840363966422906,raw,0.6342235746886887,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
