index,target,irls_weight,downweighted
19,metric/the_pile_pubmed_central_val_loss,1.0,False
19,metric/the_pile_wikipedia_en_val_loss,1.0,False
19,metric/the_pile_dm_mathematics_val_loss,1.0,False
19,metric/the_pile_github_val_loss,1.0,False
19,metric/the_pile_stackexchange_val_loss,1.0,False
19,metric/the_pile_gutenberg_pg_19_val_loss,1.0,False
19,metric/the_pile_pile_cc_val_loss,1.0,False
19,metric/the_pile_ubuntu_irc_val_loss,1.0,False
19,metric/the_pile_hackernews_val_loss,1.0,False
19,metric/the_pile_pubmed_abstracts_val_loss,1.0,False
19,metric/the_pile_uspto_backgrounds_val_loss,1.0,False
20,metric/the_pile_arxiv_val_loss,1.0,False
20,metric/the_pile_freelaw_val_loss,1.0,False
20,metric/the_pile_pubmed_central_val_loss,1.0,False
20,metric/the_pile_wikipedia_en_val_loss,1.0,False
20,metric/the_pile_dm_mathematics_val_loss,1.0,False
20,metric/the_pile_github_val_loss,1.0,False
20,metric/the_pile_stackexchange_val_loss,1.0,False
20,metric/the_pile_gutenberg_pg_19_val_loss,1.0,False
20,metric/the_pile_pile_cc_val_loss,1.0,False
20,metric/the_pile_ubuntu_irc_val_loss,1.0,False
20,metric/the_pile_hackernews_val_loss,1.0,False
20,metric/the_pile_pubmed_abstracts_val_loss,1.0,False
20,metric/the_pile_uspto_backgrounds_val_loss,1.0,False
21,metric/the_pile_arxiv_val_loss,1.0,False
21,metric/the_pile_freelaw_val_loss,1.0,False
21,metric/the_pile_pubmed_central_val_loss,1.0,False
21,metric/the_pile_wikipedia_en_val_loss,1.0,False
21,metric/the_pile_dm_mathematics_val_loss,1.0,False
21,metric/the_pile_github_val_loss,1.0,False
21,metric/the_pile_stackexchange_val_loss,1.0,False
21,metric/the_pile_gutenberg_pg_19_val_loss,1.0,False
21,metric/the_pile_pile_cc_val_loss,1.0,False
21,metric/the_pile_ubuntu_irc_val_loss,1.0,False
21,metric/the_pile_hackernews_val_loss,1.0,False
21,metric/the_pile_pubmed_abstracts_val_loss,1.0,False
21,metric/the_pile_uspto_backgrounds_val_loss,1.0,False
22,metric/the_pile_arxiv_val_loss,1.0,False
22,metric/the_pile_freelaw_val_loss,1.0,False
22,metric/the_pile_pubmed_central_val_loss,1.0,False
22,metric/the_pile_wikipedia_en_val_loss,1.0,False
22,metric/the_pile_dm_mathematics_val_loss,1.0,False
22,metric/the_pile_github_val_loss,1.0,False
22,metric/the_pile_stackexchange_val_loss,1.0,False
22,metric/the_pile_gutenberg_pg_19_val_loss,1.0,False
22,metric/the_pile_pile_cc_val_loss,1.0,False
22,metric/the_pile_ubuntu_irc_val_loss,1.0,False
22,metric/the_pile_hackernews_val_loss,1.0,False
22,metric/the_pile_pubmed_abstracts_val_loss,1.0,False
22,metric/the_pile_uspto_backgrounds_val_loss,1.0,False
23,metric/the_pile_arxiv_val_loss,1.0,False
23,metric/the_pile_freelaw_val_loss,1.0,False
23,metric/the_pile_pubmed_central_val_loss,1.0,False
23,metric/the_pile_wikipedia_en_val_loss,1.0,False
23,metric/the_pile_dm_mathematics_val_loss,1.0,False
23,metric/the_pile_github_val_loss,1.0,False
23,metric/the_pile_stackexchange_val_loss,1.0,False
23,metric/the_pile_gutenberg_pg_19_val_loss,1.0,False
23,metric/the_pile_pile_cc_val_loss,1.0,False
23,metric/the_pile_ubuntu_irc_val_loss,1.0,False
23,metric/the_pile_hackernews_val_loss,1.0,False
23,metric/the_pile_pubmed_abstracts_val_loss,1.0,False
23,metric/the_pile_uspto_backgrounds_val_loss,1.0,False
24,metric/the_pile_arxiv_val_loss,0.7437167935540012,True
24,metric/the_pile_freelaw_val_loss,1.0,False
24,metric/the_pile_pubmed_central_val_loss,1.0,False
24,metric/the_pile_wikipedia_en_val_loss,1.0,False
24,metric/the_pile_dm_mathematics_val_loss,1.0,False
24,metric/the_pile_github_val_loss,1.0,False
24,metric/the_pile_stackexchange_val_loss,1.0,False
24,metric/the_pile_gutenberg_pg_19_val_loss,1.0,False
24,metric/the_pile_pile_cc_val_loss,1.0,False
24,metric/the_pile_ubuntu_irc_val_loss,1.0,False
24,metric/the_pile_hackernews_val_loss,1.0,False
24,metric/the_pile_pubmed_abstracts_val_loss,1.0,False
24,metric/the_pile_uspto_backgrounds_val_loss,1.0,False
25,metric/the_pile_arxiv_val_loss,1.0,False
25,metric/the_pile_freelaw_val_loss,1.0,False
25,metric/the_pile_pubmed_central_val_loss,1.0,False
25,metric/the_pile_wikipedia_en_val_loss,1.0,False
25,metric/the_pile_dm_mathematics_val_loss,1.0,False
25,metric/the_pile_github_val_loss,1.0,False
25,metric/the_pile_stackexchange_val_loss,1.0,False
25,metric/the_pile_gutenberg_pg_19_val_loss,1.0,False
25,metric/the_pile_pile_cc_val_loss,1.0,False
25,metric/the_pile_ubuntu_irc_val_loss,1.0,False
25,metric/the_pile_hackernews_val_loss,1.0,False
25,metric/the_pile_pubmed_abstracts_val_loss,1.0,False
25,metric/the_pile_uspto_backgrounds_val_loss,1.0,False
26,metric/the_pile_arxiv_val_loss,1.0,False
26,metric/the_pile_freelaw_val_loss,1.0,False
26,metric/the_pile_pubmed_central_val_loss,1.0,False
26,metric/the_pile_wikipedia_en_val_loss,1.0,False
26,metric/the_pile_dm_mathematics_val_loss,1.0,False
26,metric/the_pile_github_val_loss,1.0,False
26,metric/the_pile_stackexchange_val_loss,1.0,False
26,metric/the_pile_gutenberg_pg_19_val_loss,1.0,False
26,metric/the_pile_pile_cc_val_loss,1.0,False
26,metric/the_pile_ubuntu_irc_val_loss,1.0,False
26,metric/the_pile_hackernews_val_loss,1.0,False
26,metric/the_pile_pubmed_abstracts_val_loss,1.0,False
26,metric/the_pile_uspto_backgrounds_val_loss,1.0,False
27,metric/the_pile_arxiv_val_loss,1.0,False
27,metric/the_pile_freelaw_val_loss,1.0,False
27,metric/the_pile_pubmed_central_val_loss,1.0,False
27,metric/the_pile_wikipedia_en_val_loss,1.0,False
27,metric/the_pile_dm_mathematics_val_loss,1.0,False
27,metric/the_pile_github_val_loss,1.0,False
27,metric/the_pile_stackexchange_val_loss,1.0,False
27,metric/the_pile_gutenberg_pg_19_val_loss,1.0,False
27,metric/the_pile_pile_cc_val_loss,1.0,False
27,metric/the_pile_ubuntu_irc_val_loss,1.0,False
27,metric/the_pile_hackernews_val_loss,1.0,False
27,metric/the_pile_pubmed_abstracts_val_loss,1.0,False
27,metric/the_pile_uspto_backgrounds_val_loss,1.0,False
28,metric/the_pile_arxiv_val_loss,1.0,False
28,metric/the_pile_freelaw_val_loss,1.0,False
28,metric/the_pile_pubmed_central_val_loss,1.0,False
28,metric/the_pile_wikipedia_en_val_loss,1.0,False
28,metric/the_pile_dm_mathematics_val_loss,1.0,False
28,metric/the_pile_github_val_loss,1.0,False
28,metric/the_pile_stackexchange_val_loss,1.0,False
28,metric/the_pile_gutenberg_pg_19_val_loss,1.0,False
28,metric/the_pile_pile_cc_val_loss,1.0,False
28,metric/the_pile_ubuntu_irc_val_loss,1.0,False
28,metric/the_pile_hackernews_val_loss,1.0,False
28,metric/the_pile_pubmed_abstracts_val_loss,1.0,False
28,metric/the_pile_uspto_backgrounds_val_loss,1.0,False
29,metric/the_pile_arxiv_val_loss,1.0,False
29,metric/the_pile_freelaw_val_loss,1.0,False
29,metric/the_pile_pubmed_central_val_loss,1.0,False
29,metric/the_pile_wikipedia_en_val_loss,1.0,False
29,metric/the_pile_dm_mathematics_val_loss,1.0,False
29,metric/the_pile_github_val_loss,0.5852287415127914,True
29,metric/the_pile_stackexchange_val_loss,0.6810882718089755,True
29,metric/the_pile_gutenberg_pg_19_val_loss,1.0,False
29,metric/the_pile_pile_cc_val_loss,1.0,False
29,metric/the_pile_ubuntu_irc_val_loss,0.9054421005431147,True
29,metric/the_pile_hackernews_val_loss,1.0,False
29,metric/the_pile_pubmed_abstracts_val_loss,1.0,False
29,metric/the_pile_uspto_backgrounds_val_loss,0.9449365333119932,True
30,metric/the_pile_arxiv_val_loss,0.9874060082623031,True
30,metric/the_pile_freelaw_val_loss,1.0,False
30,metric/the_pile_pubmed_central_val_loss,1.0,False
30,metric/the_pile_wikipedia_en_val_loss,1.0,False
30,metric/the_pile_dm_mathematics_val_loss,1.0,False
30,metric/the_pile_github_val_loss,1.0,False
30,metric/the_pile_stackexchange_val_loss,1.0,False
30,metric/the_pile_gutenberg_pg_19_val_loss,1.0,False
30,metric/the_pile_pile_cc_val_loss,1.0,False
30,metric/the_pile_ubuntu_irc_val_loss,1.0,False
30,metric/the_pile_hackernews_val_loss,1.0,False
30,metric/the_pile_pubmed_abstracts_val_loss,1.0,False
30,metric/the_pile_uspto_backgrounds_val_loss,1.0,False
31,metric/the_pile_arxiv_val_loss,1.0,False
31,metric/the_pile_freelaw_val_loss,1.0,False
31,metric/the_pile_pubmed_central_val_loss,1.0,False
31,metric/the_pile_wikipedia_en_val_loss,1.0,False
31,metric/the_pile_dm_mathematics_val_loss,1.0,False
31,metric/the_pile_github_val_loss,1.0,False
31,metric/the_pile_stackexchange_val_loss,1.0,False
31,metric/the_pile_gutenberg_pg_19_val_loss,1.0,False
31,metric/the_pile_pile_cc_val_loss,1.0,False
31,metric/the_pile_ubuntu_irc_val_loss,1.0,False
31,metric/the_pile_hackernews_val_loss,1.0,False
31,metric/the_pile_pubmed_abstracts_val_loss,1.0,False
31,metric/the_pile_uspto_backgrounds_val_loss,1.0,False
32,metric/the_pile_arxiv_val_loss,0.6932170385525704,True
32,metric/the_pile_freelaw_val_loss,0.9830819757913575,True
32,metric/the_pile_pubmed_central_val_loss,1.0,False
32,metric/the_pile_wikipedia_en_val_loss,1.0,False
32,metric/the_pile_dm_mathematics_val_loss,1.0,False
32,metric/the_pile_github_val_loss,1.0,False
32,metric/the_pile_stackexchange_val_loss,0.9841013124037459,True
32,metric/the_pile_gutenberg_pg_19_val_loss,1.0,False
32,metric/the_pile_pile_cc_val_loss,1.0,False
32,metric/the_pile_ubuntu_irc_val_loss,1.0,False
32,metric/the_pile_hackernews_val_loss,1.0,False
32,metric/the_pile_pubmed_abstracts_val_loss,1.0,False
32,metric/the_pile_uspto_backgrounds_val_loss,1.0,False
33,metric/the_pile_arxiv_val_loss,1.0,False
33,metric/the_pile_freelaw_val_loss,1.0,False
33,metric/the_pile_pubmed_central_val_loss,1.0,False
33,metric/the_pile_wikipedia_en_val_loss,1.0,False
33,metric/the_pile_dm_mathematics_val_loss,1.0,False
33,metric/the_pile_github_val_loss,1.0,False
33,metric/the_pile_stackexchange_val_loss,1.0,False
33,metric/the_pile_gutenberg_pg_19_val_loss,1.0,False
33,metric/the_pile_pile_cc_val_loss,1.0,False
33,metric/the_pile_ubuntu_irc_val_loss,1.0,False
33,metric/the_pile_hackernews_val_loss,1.0,False
33,metric/the_pile_pubmed_abstracts_val_loss,1.0,False
33,metric/the_pile_uspto_backgrounds_val_loss,1.0,False
34,metric/the_pile_arxiv_val_loss,1.0,False
34,metric/the_pile_freelaw_val_loss,1.0,False
34,metric/the_pile_pubmed_central_val_loss,1.0,False
34,metric/the_pile_wikipedia_en_val_loss,1.0,False
34,metric/the_pile_dm_mathematics_val_loss,1.0,False
34,metric/the_pile_github_val_loss,1.0,False
34,metric/the_pile_stackexchange_val_loss,1.0,False
34,metric/the_pile_gutenberg_pg_19_val_loss,1.0,False
34,metric/the_pile_pile_cc_val_loss,1.0,False
34,metric/the_pile_ubuntu_irc_val_loss,1.0,False
34,metric/the_pile_hackernews_val_loss,1.0,False
34,metric/the_pile_pubmed_abstracts_val_loss,1.0,False
34,metric/the_pile_uspto_backgrounds_val_loss,1.0,False
35,metric/the_pile_arxiv_val_loss,1.0,False
35,metric/the_pile_freelaw_val_loss,1.0,False
35,metric/the_pile_pubmed_central_val_loss,1.0,False
35,metric/the_pile_wikipedia_en_val_loss,1.0,False
35,metric/the_pile_dm_mathematics_val_loss,1.0,False
35,metric/the_pile_github_val_loss,1.0,False
35,metric/the_pile_stackexchange_val_loss,1.0,False
35,metric/the_pile_gutenberg_pg_19_val_loss,1.0,False
35,metric/the_pile_pile_cc_val_loss,1.0,False
35,metric/the_pile_ubuntu_irc_val_loss,1.0,False
35,metric/the_pile_hackernews_val_loss,1.0,False
35,metric/the_pile_pubmed_abstracts_val_loss,1.0,False
35,metric/the_pile_uspto_backgrounds_val_loss,1.0,False
36,metric/the_pile_arxiv_val_loss,1.0,False
36,metric/the_pile_freelaw_val_loss,1.0,False
36,metric/the_pile_pubmed_central_val_loss,1.0,False
36,metric/the_pile_wikipedia_en_val_loss,1.0,False
36,metric/the_pile_dm_mathematics_val_loss,1.0,False
36,metric/the_pile_github_val_loss,1.0,False
36,metric/the_pile_stackexchange_val_loss,1.0,False
36,metric/the_pile_gutenberg_pg_19_val_loss,1.0,False
36,metric/the_pile_pile_cc_val_loss,1.0,False
36,metric/the_pile_ubuntu_irc_val_loss,1.0,False
36,metric/the_pile_hackernews_val_loss,1.0,False
36,metric/the_pile_pubmed_abstracts_val_loss,1.0,False
36,metric/the_pile_uspto_backgrounds_val_loss,1.0,False
37,metric/the_pile_arxiv_val_loss,1.0,False
37,metric/the_pile_freelaw_val_loss,1.0,False
37,metric/the_pile_pubmed_central_val_loss,1.0,False
37,metric/the_pile_wikipedia_en_val_loss,1.0,False
37,metric/the_pile_dm_mathematics_val_loss,1.0,False
37,metric/the_pile_github_val_loss,1.0,False
37,metric/the_pile_stackexchange_val_loss,1.0,False
37,metric/the_pile_gutenberg_pg_19_val_loss,1.0,False
37,metric/the_pile_pile_cc_val_loss,1.0,False
37,metric/the_pile_ubuntu_irc_val_loss,1.0,False
37,metric/the_pile_hackernews_val_loss,1.0,False
37,metric/the_pile_pubmed_abstracts_val_loss,1.0,False
37,metric/the_pile_uspto_backgrounds_val_loss,1.0,False
38,metric/the_pile_arxiv_val_loss,1.0,False
38,metric/the_pile_freelaw_val_loss,1.0,False
38,metric/the_pile_pubmed_central_val_loss,1.0,False
38,metric/the_pile_wikipedia_en_val_loss,1.0,False
38,metric/the_pile_dm_mathematics_val_loss,1.0,False
38,metric/the_pile_github_val_loss,1.0,False
38,metric/the_pile_stackexchange_val_loss,1.0,False
38,metric/the_pile_gutenberg_pg_19_val_loss,1.0,False
38,metric/the_pile_pile_cc_val_loss,1.0,False
38,metric/the_pile_ubuntu_irc_val_loss,1.0,False
38,metric/the_pile_hackernews_val_loss,1.0,False
38,metric/the_pile_pubmed_abstracts_val_loss,1.0,False
