replicate,sampled_cluster_sequence,E,A,alpha,B,beta,sse
31,EleutherAI/pythia-1b;EleutherAI/pythia-12b;EleutherAI/pythia-6.9b;EleutherAI/pythia-2.8b;EleutherAI/pythia-12b;EleutherAI/pythia-160m;EleutherAI/pythia-1b;EleutherAI/pythia-70m,1.6897725740347862,0.35395724666886746,0.3399933498966021,1.240329640690221,0.27985206723416034,2.4720495771336528e-05
32,EleutherAI/pythia-1b;EleutherAI/pythia-160m;EleutherAI/pythia-1b;EleutherAI/pythia-12b;EleutherAI/pythia-6.9b;EleutherAI/pythia-1b;EleutherAI/pythia-6.9b;EleutherAI/pythia-70m,1.6897801737988303,0.35395176551146046,0.340000221699982,1.2402974026261988,0.2798509974927037,2.7038576554052453e-05
33,EleutherAI/pythia-12b;EleutherAI/pythia-6.9b;EleutherAI/pythia-2.8b;EleutherAI/pythia-1.4b;EleutherAI/pythia-1b;EleutherAI/pythia-6.9b;EleutherAI/pythia-2.8b;EleutherAI/pythia-1.4b,1.6896681843047778,0.3541099226852399,0.3397365299607734,1.2402753575017682,0.27988482812986326,1.868101262087794e-05
34,EleutherAI/pythia-6.9b;EleutherAI/pythia-1.4b;EleutherAI/pythia-1.4b;EleutherAI/pythia-12b;EleutherAI/pythia-1b;EleutherAI/pythia-12b;EleutherAI/pythia-410m;EleutherAI/pythia-2.8b,1.6898550038509397,0.35390691431141424,0.3400465741026741,1.2403257570763029,0.2798768166008843,1.8304971635620045e-05
35,EleutherAI/pythia-1b;EleutherAI/pythia-2.8b;EleutherAI/pythia-1.4b;EleutherAI/pythia-6.9b;EleutherAI/pythia-1b;EleutherAI/pythia-1b;EleutherAI/pythia-1.4b;EleutherAI/pythia-70m,1.6898640063657664,0.3539091217796356,0.3400225661050939,1.240248433187178,0.27987231109371297,2.501338554978744e-05
36,EleutherAI/pythia-12b;EleutherAI/pythia-1b;EleutherAI/pythia-70m;EleutherAI/pythia-1.4b;EleutherAI/pythia-160m;EleutherAI/pythia-2.8b;EleutherAI/pythia-160m;EleutherAI/pythia-2.8b,1.6897607649091344,0.3539995627931806,0.33996352376947203,1.2403453621718503,0.2798697163821067,2.64263988799204e-05
37,EleutherAI/pythia-6.9b;EleutherAI/pythia-160m;EleutherAI/pythia-1b;EleutherAI/pythia-12b;EleutherAI/pythia-2.8b;EleutherAI/pythia-410m;EleutherAI/pythia-1b;EleutherAI/pythia-6.9b,1.689812517353851,0.3538812732485549,0.34007753890760767,1.2403589803717683,0.27983879423069397,2.220858796444505e-05
38,EleutherAI/pythia-12b;EleutherAI/pythia-1b;EleutherAI/pythia-2.8b;EleutherAI/pythia-1.4b;EleutherAI/pythia-12b;EleutherAI/pythia-12b;EleutherAI/pythia-12b;EleutherAI/pythia-160m,1.6898151829349228,0.35389180977022694,0.34006578493046674,1.2404071343537244,0.27985552210259196,1.797441546357446e-05
39,EleutherAI/pythia-410m;EleutherAI/pythia-70m;EleutherAI/pythia-6.9b;EleutherAI/pythia-12b;EleutherAI/pythia-12b;EleutherAI/pythia-6.9b;EleutherAI/pythia-70m;EleutherAI/pythia-160m,1.6898240711412937,0.35401876266942867,0.3399447210503474,1.2402488868654662,0.27990437452407524,2.7744294352507474e-05
40,EleutherAI/pythia-12b;EleutherAI/pythia-70m;EleutherAI/pythia-1b;EleutherAI/pythia-12b;EleutherAI/pythia-12b;EleutherAI/pythia-1b;EleutherAI/pythia-1b;EleutherAI/pythia-1.4b,1.6898133133036828,0.3539025900511146,0.34002810809999123,1.240327934843395,0.2798512275411343,2.2483757548716243e-05
41,EleutherAI/pythia-410m;EleutherAI/pythia-160m;EleutherAI/pythia-410m;EleutherAI/pythia-410m;EleutherAI/pythia-2.8b;EleutherAI/pythia-160m;EleutherAI/pythia-6.9b;EleutherAI/pythia-1b,1.6897867522699235,0.3538882784597754,0.34006981852901613,1.2404198843596232,0.2798364987339786,2.4877484633158358e-05
42,EleutherAI/pythia-12b;EleutherAI/pythia-1b;EleutherAI/pythia-160m;EleutherAI/pythia-1.4b;EleutherAI/pythia-12b;EleutherAI/pythia-1.4b;EleutherAI/pythia-410m;EleutherAI/pythia-160m,1.6898493343293453,0.35387944102930424,0.34007874446570435,1.240403115450285,0.279872289994202,2.262669701621404e-05
43,EleutherAI/pythia-6.9b;EleutherAI/pythia-6.9b;EleutherAI/pythia-410m;EleutherAI/pythia-2.8b;EleutherAI/pythia-1.4b;EleutherAI/pythia-70m;EleutherAI/pythia-6.9b;EleutherAI/pythia-1b,1.6898493404455939,0.3539740061520432,0.33997832014547075,1.240215404324004,0.27989455421243115,2.4218982642613015e-05
44,EleutherAI/pythia-1.4b;EleutherAI/pythia-1.4b;EleutherAI/pythia-6.9b;EleutherAI/pythia-1.4b;EleutherAI/pythia-2.8b;EleutherAI/pythia-1.4b;EleutherAI/pythia-160m;EleutherAI/pythia-12b,1.6899405363087603,0.35390836601492615,0.34005280312451364,1.2402816183966396,0.2799265194847266,1.9561046553048195e-05
45,EleutherAI/pythia-2.8b;EleutherAI/pythia-410m;EleutherAI/pythia-1b;EleutherAI/pythia-6.9b;EleutherAI/pythia-160m;EleutherAI/pythia-1.4b;EleutherAI/pythia-1b;EleutherAI/pythia-6.9b,1.6898377928455224,0.35389017531685674,0.3400699191086353,1.2403280818912363,0.2798553989630322,2.333818180215581e-05
46,EleutherAI/pythia-160m;EleutherAI/pythia-160m;EleutherAI/pythia-160m;EleutherAI/pythia-70m;EleutherAI/pythia-410m;EleutherAI/pythia-160m;EleutherAI/pythia-12b;EleutherAI/pythia-1b,1.6897019755158742,0.35401653795344307,0.33995415401768303,1.2404282094780814,0.27985697559004463,3.194087314266659e-05
47,EleutherAI/pythia-160m;EleutherAI/pythia-70m;EleutherAI/pythia-1.4b;EleutherAI/pythia-1.4b;EleutherAI/pythia-1b;EleutherAI/pythia-410m;EleutherAI/pythia-410m;EleutherAI/pythia-2.8b,1.6897622221331576,0.3540182544536185,0.33995246959554165,1.240314387071371,0.2798830005313278,2.616218574122779e-05
48,EleutherAI/pythia-1.4b;EleutherAI/pythia-410m;EleutherAI/pythia-6.9b;EleutherAI/pythia-6.9b;EleutherAI/pythia-2.8b;EleutherAI/pythia-70m;EleutherAI/pythia-1.4b;EleutherAI/pythia-6.9b,1.6898871470761425,0.35398953524408283,0.339966959285603,1.2401895667807423,0.2799241489780699,2.32684564709143e-05
49,EleutherAI/pythia-1.4b;EleutherAI/pythia-70m;EleutherAI/pythia-6.9b;EleutherAI/pythia-160m;EleutherAI/pythia-160m;EleutherAI/pythia-1b;EleutherAI/pythia-410m;EleutherAI/pythia-70m,1.6897651654867785,0.3540572688204045,0.3399258277381926,1.2402652276452362,0.27989976543001055,3.252370334341023e-05
50,EleutherAI/pythia-410m;EleutherAI/pythia-2.8b;EleutherAI/pythia-70m;EleutherAI/pythia-2.8b;EleutherAI/pythia-160m;EleutherAI/pythia-12b;EleutherAI/pythia-410m;EleutherAI/pythia-1b,1.6897440314270114,0.3539731386812282,0.33997914899936893,1.2403654649209184,0.27984607340189765,2.4533700172712253e-05
