comparison_axis,from_budget_flops,from_context_tokens,to_budget_flops,to_context_tokens,from_run_id,to_run_id,N_B_from,N_B_to,N_B_absolute_change,N_B_relative_change,D_B_from,D_B_to,D_B_absolute_change,D_B_relative_change,m0_loss_from,m0_loss_to,m0_loss_change,train_share_from,train_share_to,attention_share_from,attention_share_to,cost_share_total_variation,configuration_changed,support_bound_at_to_scenario,interpretation
context_at_fixed_budget,10000000000000000000,2048,10000000000000000000,4096,169,169,0.162405,0.162405,0.0,0.0,8.389,8.389,0.0,0.0,3.030397627156985,3.030397627156985,0.0,0.9360958562156765,0.8798686062881277,0.06390414378432352,0.12013139371187236,0.056227249927548816,False,False,descriptive pairwise change only; not inferential structural transition
context_at_fixed_budget,1000000000000000000000000,32768,1000000000000000000000000,131072,1232,1232,11.965825,11.965825,0.0,0.0,299.893,299.893,0.0,0.0,2.093379471491827,2.093379471491827,0.0,0.4779505480499618,0.18625211085725638,0.5220494519500383,0.8137478891427437,0.2916984371927054,False,True,descriptive pairwise change only; not inferential structural transition
budget_at_fixed_context,10000000000000000000,2048,10000000000000000000000,2048,169,1043,0.162405,6.86104,6.698635,41.24648255903451,8.389,226.492,218.10299999999998,25.998688759089283,3.030397627156985,2.1456111666541906,-0.8847864605027942,0.9360958562156765,0.9360958562156765,0.06390414378432352,0.06390414378432352,0.0,True,False,descriptive pairwise change only; not inferential structural transition
budget_at_fixed_context,10000000000000000000000,2048,1000000000000000000000000,2048,1043,1232,6.86104,11.965825,5.104785000000001,0.7440249583153575,226.492,299.893,73.40099999999998,0.3240776716175404,2.1456111666541906,2.093379471491827,-0.05223169516236359,0.9360958562156765,0.9360958562156765,0.06390414378432352,0.06390414378432352,0.0,True,True,descriptive pairwise change only; not inferential structural transition
budget_at_fixed_context,10000000000000000000,4096,10000000000000000000000,4096,169,1036,0.162405,6.86104,6.698635,41.24648255903451,8.389,211.812,203.423,24.248778161878654,3.030397627156985,2.150758613533873,-0.8796390136231116,0.8798686062881277,0.8798686062881277,0.12013139371187236,0.12013139371187236,0.0,True,False,descriptive pairwise change only; not inferential structural transition
budget_at_fixed_context,10000000000000000000000,4096,1000000000000000000000000,4096,1036,1232,6.86104,11.965825,5.104785000000001,0.7440249583153575,211.812,299.893,88.08099999999996,0.41584518346458155,2.150758613533873,2.093379471491827,-0.057379142042046194,0.8798686062881277,0.8798686062881277,0.12013139371187236,0.12013139371187236,0.0,True,True,descriptive pairwise change only; not inferential structural transition
budget_at_fixed_context,10000000000000000000,8192,10000000000000000000000,8192,168,1025,0.162405,6.86104,6.698635,41.24648255903451,6.291,188.744,182.453,29.00222540136703,3.0877660039358146,2.159845165552461,-0.9279208383833537,0.7855048177628823,0.7855048177628823,0.21449518223711772,0.21449518223711772,0.0,True,False,descriptive pairwise change only; not inferential structural transition
budget_at_fixed_context,10000000000000000000000,8192,1000000000000000000000000,8192,1025,1232,6.86104,11.965825,5.104785000000001,0.7440249583153575,188.744,299.893,111.14899999999997,0.5888875937778153,2.159845165552461,2.093379471491827,-0.06646569406063385,0.7855048177628823,0.7855048177628823,0.21449518223711772,0.21449518223711772,0.0,True,True,descriptive pairwise change only; not inferential structural transition
budget_at_fixed_context,10000000000000000000,32768,10000000000000000000000,32768,167,917,0.162405,2.782831,2.6204259999999997,16.135131307533634,4.194,285.213,281.019,67.00500715307582,3.1768463777891194,2.194660077531802,-0.9821863002573172,0.4779505480499618,0.4779505480499618,0.5220494519500383,0.5220494519500383,0.0,True,False,descriptive pairwise change only; not inferential structural transition
budget_at_fixed_context,10000000000000000000000,32768,1000000000000000000000000,32768,917,1232,2.782831,11.965825,9.182994,3.2998748396866358,285.213,299.893,14.67999999999995,0.051470304649507304,2.194660077531802,2.093379471491827,-0.10128060603997513,0.4779505480499618,0.4779505480499618,0.5220494519500383,0.5220494519500383,0.0,True,True,descriptive pairwise change only; not inferential structural transition
budget_at_fixed_context,10000000000000000000,131072,10000000000000000000000,131072,13,834,0.070542,2.782831,2.7122889999999997,38.44927844404752,4.194,111.149,106.955,25.50190748688603,3.392088334710602,2.271590563800825,-1.1204977709097772,0.18625211085725638,0.18625211085725638,0.8137478891427437,0.8137478891427437,0.0,True,False,descriptive pairwise change only; not inferential structural transition
budget_at_fixed_context,10000000000000000000000,131072,1000000000000000000000000,131072,834,1232,2.782831,11.965825,9.182994,3.2998748396866358,111.149,299.893,188.74399999999997,1.698116942122736,2.271590563800825,2.093379471491827,-0.1782110923089979,0.18625211085725638,0.18625211085725638,0.8137478891427437,0.8137478891427437,0.0,True,True,descriptive pairwise change only; not inferential structural transition
