replicate,rmse,mae,r2
293,0.00016121195850094132,0.00011590178369351624,0.9999997943458475
294,0.00016927670356507935,0.00012030190283210717,0.9999998002426114
295,0.00013857383158961218,0.00010201183848200617,0.9999998277978726
296,0.00013426936357055207,9.827347844599391e-05,0.999999794130086
297,0.00013013888225898036,9.448912584401618e-05,0.9999997797025673
298,0.00015616837116099125,0.0001079604301256999,0.9999997934119411
299,0.00015803645593367034,0.00011519954053294878,0.9999997483475626
300,0.00014376382459237765,0.0001006714916183968,0.9999997525747965
301,0.0001686477518062606,0.00011919788125846475,0.9999998072612242
302,0.00014406769053202642,0.00010326930353871225,0.9999997951265011
303,0.00014747646073091616,0.00010163409087480023,0.9999998037574346
304,0.00016603463811750785,0.0001247172131805282,0.9999997389745201
305,0.0001637370797186153,0.00011715361120255139,0.9999997818036788
306,0.00012270414240754906,9.222090473777373e-05,0.9999997919543608
307,0.0001346158890812547,0.00010104923922560273,0.9999997863219144
308,0.00011818037978258922,8.774630026538742e-05,0.9999998066672534
309,0.00017518884870286488,0.00012652949485137486,0.9999997348519403
310,0.00017662290149259518,0.00012952434299786698,0.9999997686500217
311,0.0001594943590179274,0.00010926425442988842,0.9999998255834701
312,0.00016082775913877758,0.0001121890919119949,0.9999998256436549
313,0.00016187483336570454,0.00011602160130710555,0.9999998022686284
314,0.0001438190492730238,0.00010184679462352978,0.9999998369741717
315,0.00014509621601519151,0.00010111580080271408,0.9999998119748318
316,0.0001434513565342398,0.00010550748960989774,0.9999997465196259
317,0.00013153391208254635,9.007469933058748e-05,0.9999997607362006
318,0.0001291052835170285,9.326129926518425e-05,0.9999997650969996
319,0.00014597154857383252,0.00010470035067414571,0.999999769759341
320,0.00016180308608367954,0.00011565255340273229,0.9999997512598399
321,0.00013937370162533068,0.0001014213831434371,0.9999997828361121
322,0.00015519620853476744,0.00010999140824868368,0.9999997941415639
323,0.0001552683458027582,0.00011163861220275455,0.9999998208670194
324,0.0001482984236746995,0.00010210293531101305,0.9999998083117736
325,0.00014532907763883322,9.885487702528353e-05,0.9999997931464074
326,0.00016730567407082075,0.00012003029189152494,0.9999997955108011
327,0.00017018005462855583,0.00012195435740173641,0.999999771844173
328,0.00017002759617478386,0.0001238864527035388,0.9999997369556456
329,0.00014614590545744476,0.00010499558315596534,0.999999802638974
330,0.00013738484980746265,9.648485217468404e-05,0.9999997940517612
331,0.0001497283513983775,0.00010882720871608365,0.9999998058241433
332,0.00014666072093052592,0.00010298261890221382,0.9999998097372965
333,0.00017036629867716913,0.00012408713926907725,0.9999997572003655
334,0.00014728116202463847,0.00010642281590816058,0.9999997914238618
335,0.00014747740799860793,0.0001058563690429415,0.9999998167972816
336,0.00015385594201133243,0.00011060511844697314,0.9999997575408949
337,0.00013628218809726462,9.62885025140458e-05,0.9999997512332764
338,0.00015949523490941644,0.00011348653259802969,0.9999998280954082
339,0.00014472088318668262,0.00010138701518611354,0.9999997393041028
340,0.00012873397320107766,9.369707022925052e-05,0.9999997984979829
341,0.00013186900017911872,9.296646334054741e-05,0.9999998104291313
342,0.0001314306746661171,9.832163523912684e-05,0.9999997669193341
343,0.00016306924813874236,0.00011587164076961557,0.9999998161685284
344,0.0001391581607228323,9.479891348272357e-05,0.9999997709014603
345,0.0001470994399106034,0.00010933911517001607,0.9999997592516905
346,0.00015402137378016118,0.00011090035092879278,0.9999997891930574
347,0.00014435585174037827,0.00010351726306239128,0.9999998167909855
348,0.00012283742873180187,8.667319756179429e-05,0.9999997903288855
349,0.00016854262093430223,0.0001214115320777547,0.999999809195279
350,0.00015391947498708862,0.00011124157597657786,0.9999997917192532
351,0.00015322749948931268,0.00011013755440293544,0.9999997957106159
352,0.00013970756709728461,0.00010419714392304594,0.9999997658886203
353,0.00014424712520831376,0.00010385848811017638,0.9999998190735975
354,0.00013405985507933667,9.78557213511599e-05,0.9999997938063401
355,0.0001332372516405813,9.755795487827717e-05,0.9999998041934873
356,0.00014585524130395405,0.00010825310746560591,0.9999997728991201
357,0.00015395216108693712,0.00011376937723250766,0.9999997424030359
