model_form,omitted_trajectory,budget_flops,context_length_tokens,original_full_m0_run_id,same_form_full_fit_run_id,selected_run_id,selected_grid_id,selected_N_B,selected_D_B,predicted_loss,cost_flops,feasible_grid_points,selected_trajectory_id,matches_original_full_m0,matches_same_form_full_fit,selected_point_is_omitted_trajectory,selected_N_outside_training_range,training_N_min_B,training_N_max_B
m0_current,EleutherAI/pythia-410m,10000000000000000000000,32768,917,917,917,917,2.782831,285.213,2.19466229117,9.96378702242e+21,969,EleutherAI/pythia-2.8b,True,True,False,False,0.070542,11.965825
m0_current,EleutherAI/pythia-410m,10000000000000000000000,131072,834,834,834,834,2.782831,111.149,2.27159057903,9.96420007468e+21,793,EleutherAI/pythia-2.8b,True,True,False,False,0.070542,11.965825
m0_current,EleutherAI/pythia-410m,1000000000000000000000000,2048,1232,1232,1232,1232,11.965825,299.893,2.09338139257,2.30006390877e+22,1176,EleutherAI/pythia-12b,True,True,False,False,0.070542,11.965825
m0_current,EleutherAI/pythia-410m,1000000000000000000000000,4096,1232,1232,1232,1232,11.965825,299.893,2.09338139257,2.44704752351e+22,1176,EleutherAI/pythia-12b,True,True,False,False,0.070542,11.965825
m0_current,EleutherAI/pythia-410m,1000000000000000000000000,8192,1232,1232,1232,1232,11.965825,299.893,2.09338139257,2.74101475299e+22,1176,EleutherAI/pythia-12b,True,True,False,False,0.070542,11.965825
m0_current,EleutherAI/pythia-410m,1000000000000000000000000,32768,1232,1232,1232,1232,11.965825,299.893,2.09338139257,4.50481812987e+22,1176,EleutherAI/pythia-12b,True,True,False,False,0.070542,11.965825
m0_current,EleutherAI/pythia-410m,1000000000000000000000000,131072,1232,1232,1232,1232,11.965825,299.893,2.09338139257,1.15600316374e+23,1176,EleutherAI/pythia-12b,True,True,False,False,0.070542,11.965825
m0_no_floor,EleutherAI/pythia-410m,10000000000000000000,2048,169,21,21,21,0.070542,20.972,3.03666588078,9.48240597911e+18,39,EleutherAI/pythia-70m,False,True,False,False,0.070542,11.965825
m0_no_floor,EleutherAI/pythia-410m,10000000000000000000,4096,169,20,20,20,0.070542,18.874,3.05269789583,9.07914908079e+18,36,EleutherAI/pythia-70m,False,True,False,False,0.070542,11.965825
m0_no_floor,EleutherAI/pythia-410m,10000000000000000000,8192,168,19,19,19,0.070542,16.777,3.07116717903,9.03991757075e+18,34,EleutherAI/pythia-70m,False,True,False,False,0.070542,11.965825
m0_no_floor,EleutherAI/pythia-410m,10000000000000000000,32768,167,16,16,16,0.070542,10.486,3.15108439031,9.28594075288e+18,27,EleutherAI/pythia-70m,False,True,False,False,0.070542,11.965825
m0_no_floor,EleutherAI/pythia-410m,10000000000000000000,131072,13,13,13,13,0.070542,4.194,3.33980074723,9.53073165093e+18,16,EleutherAI/pythia-70m,True,True,False,False,0.070542,11.965825
m0_no_floor,EleutherAI/pythia-410m,10000000000000000000000,2048,1043,1151,1151,1151,11.965825,130.023,2.09737132252,9.97226376109e+21,1060,EleutherAI/pythia-12b,False,True,False,False,0.070542,11.965825
m0_no_floor,EleutherAI/pythia-410m,10000000000000000000000,4096,1036,1147,1147,1147,11.965825,121.635,2.1034974355,9.92509413433e+21,1049,EleutherAI/pythia-12b,False,True,False,False,0.070542,11.965825
m0_no_floor,EleutherAI/pythia-410m,10000000000000000000000,8192,1025,1141,1141,1141,11.965825,109.052,2.11377341089,9.96732637452e+21,1032,EleutherAI/pythia-12b,False,True,False,False,0.070542,11.965825
m0_no_floor,EleutherAI/pythia-410m,10000000000000000000000,32768,917,1120,1120,1120,11.965825,65.012,2.16684333307,9.76572431697e+21,969,EleutherAI/pythia-12b,False,True,False,False,0.070542,11.965825
m0_no_floor,EleutherAI/pythia-410m,10000000000000000000000,131072,834,956,956,956,6.86104,44.04,2.27902302662,9.73390959842e+21,793,EleutherAI/pythia-6.9b,False,True,False,False,0.070542,11.965825
m0_no_floor,EleutherAI/pythia-410m,1000000000000000000000000,2048,1232,1232,1232,1232,11.965825,299.893,2.02936360775,2.30006390877e+22,1176,EleutherAI/pythia-12b,True,True,False,False,0.070542,11.965825
m0_no_floor,EleutherAI/pythia-410m,1000000000000000000000000,4096,1232,1232,1232,1232,11.965825,299.893,2.02936360775,2.44704752351e+22,1176,EleutherAI/pythia-12b,True,True,False,False,0.070542,11.965825
m0_no_floor,EleutherAI/pythia-410m,1000000000000000000000000,8192,1232,1232,1232,1232,11.965825,299.893,2.02936360775,2.74101475299e+22,1176,EleutherAI/pythia-12b,True,True,False,False,0.070542,11.965825
m0_no_floor,EleutherAI/pythia-410m,1000000000000000000000000,32768,1232,1232,1232,1232,11.965825,299.893,2.02936360775,4.50481812987e+22,1176,EleutherAI/pythia-12b,True,True,False,False,0.070542,11.965825
m0_no_floor,EleutherAI/pythia-410m,1000000000000000000000000,131072,1232,1232,1232,1232,11.965825,299.893,2.02936360775,1.15600316374e+23,1176,EleutherAI/pythia-12b,True,True,False,False,0.070542,11.965825
m0_shared_exponent,EleutherAI/pythia-410m,10000000000000000000,2048,169,169,169,169,0.162405,8.389,3.02771382585,8.73253867723e+18,39,EleutherAI/pythia-160m,True,True,False,False,0.070542,11.965825
m0_shared_exponent,EleutherAI/pythia-410m,10000000000000000000,4096,169,169,169,169,0.162405,8.389,3.02771382585,9.29058408446e+18,36,EleutherAI/pythia-160m,True,True,False,False,0.070542,11.965825
m0_shared_exponent,EleutherAI/pythia-410m,10000000000000000000,8192,168,168,168,168,0.162405,6.291,3.08463184412,7.80407578843e+18,34,EleutherAI/pythia-160m,True,True,False,False,0.070542,11.965825
