source_domain,field,candidate,n,n_within_0_01pp,match_rate,mean_absolute_error_pp,max_absolute_error_pp
github,rps_lines_uppercase_letter_fraction,calc_uppercase_char_weighted_pct,10000,49,0.0049,16.695090285227643,72.27668845315903
github,rps_lines_uppercase_letter_fraction,calc_uppercase_mean_all_lines_pct,10000,67,0.0067,18.660201315532717,74.6983408235294
github,rps_lines_uppercase_letter_fraction,calc_uppercase_mean_nonempty_lines_pct,10000,67,0.0067,18.660201315532717,74.6983408235294
stackexchange,rps_doc_frac_chars_top_2gram,calc_rps_doc_frac_chars_top_2gram_pct,10000,10000,1.0,2.444719651599536e-07,5.00000000069889e-07
stackexchange,rps_doc_frac_chars_top_3gram,calc_rps_doc_frac_chars_top_3gram_pct,10000,10000,1.0,2.2361111135072443e-07,5.000000005139782e-07
stackexchange,rps_doc_frac_no_alph_words,calc_complement_of_ascii_english_letter_character_fraction_pct,10000,10000,1.0,2.5136290844720577e-07,5.00000002290335e-07
stackexchange,rps_doc_frac_no_alph_words,calc_rps_doc_frac_no_alph_words_pct,10000,15,0.0015,5.675153755592244,42.14007187101415
stackexchange,rps_doc_frac_unique_words,calc_rps_doc_frac_unique_words_pct,10000,9244,0.9244,0.051230211848458246,22.42734311009174
stackexchange,rps_lines_ending_with_terminal_punctution_mark,calc_terminal_mean_all_lines_pct,10000,219,0.0219,23.90057422846318,75.96509949155734
stackexchange,rps_lines_ending_with_terminal_punctution_mark,calc_terminal_mean_nonempty_lines_pct,10000,612,0.0612,17.528579857355968,75.49120206741914
stackexchange,rps_lines_numerical_chars_fraction,calc_numerical_char_weighted_pct,10000,1582,0.1582,1.471248709905804,61.77455206517531
stackexchange,rps_lines_numerical_chars_fraction,calc_numerical_mean_all_lines_pct,10000,1710,0.171,0.8141849617716816,30.381944444444443
stackexchange,rps_lines_numerical_chars_fraction,calc_numerical_mean_nonempty_lines_pct,10000,9984,0.9984,0.0010029273805107267,5.227708182747872
stackexchange,rps_lines_uppercase_letter_fraction,calc_uppercase_char_weighted_pct,10000,0,0.0,24.157521834850744,68.07154379028616
stackexchange,rps_lines_uppercase_letter_fraction,calc_uppercase_mean_all_lines_pct,10000,1,0.0001,24.781752337446566,67.21912530316672
stackexchange,rps_lines_uppercase_letter_fraction,calc_uppercase_mean_nonempty_lines_pct,10000,1,0.0001,24.781752337446566,67.21912530316672
wikipedia,rps_doc_frac_chars_top_2gram,calc_rps_doc_frac_chars_top_2gram_pct,10000,10000,1.0,2.2893743396981693e-07,5.00000000069889e-07
wikipedia,rps_doc_frac_chars_top_3gram,calc_rps_doc_frac_chars_top_3gram_pct,10000,2838,0.2838,0.3621476066000002,0.9991669999999999
wikipedia,rps_doc_frac_no_alph_words,calc_complement_of_ascii_english_letter_character_fraction_pct,10000,10000,1.0,2.344898431024589e-07,5.00000002290335e-07
wikipedia,rps_doc_frac_no_alph_words,calc_rps_doc_frac_no_alph_words_pct,10000,485,0.0485,4.832196224348862,28.700466230769226
wikipedia,rps_doc_frac_unique_words,calc_rps_doc_frac_unique_words_pct,10000,1702,0.1702,2.0640901092748525,26.578705063348416
wikipedia,rps_lines_ending_with_terminal_punctution_mark,calc_terminal_mean_all_lines_pct,10000,184,0.0184,31.876396575563682,89.58333333333333
wikipedia,rps_lines_ending_with_terminal_punctution_mark,calc_terminal_mean_nonempty_lines_pct,10000,188,0.0188,21.531905239205567,88.98809523809524
wikipedia,rps_lines_numerical_chars_fraction,calc_numerical_char_weighted_pct,10000,1059,0.1059,1.5154324158557897,48.16980348849049
wikipedia,rps_lines_numerical_chars_fraction,calc_numerical_mean_all_lines_pct,10000,1107,0.1107,1.012824607078629,34.03590913955735
wikipedia,rps_lines_numerical_chars_fraction,calc_numerical_mean_nonempty_lines_pct,10000,9708,0.9708,0.0037046284422050336,0.8119658624728086
wikipedia,rps_lines_uppercase_letter_fraction,calc_uppercase_char_weighted_pct,10000,7,0.0007,30.396025620225263,63.88903600915677
wikipedia,rps_lines_uppercase_letter_fraction,calc_uppercase_mean_all_lines_pct,10000,6,0.0006,30.523673019803695,66.66666676090014
wikipedia,rps_lines_uppercase_letter_fraction,calc_uppercase_mean_nonempty_lines_pct,10000,6,0.0006,30.523673019803695,66.66666676090014
