mapping_scenario,q_scenario,split,model,n_recipes,macro_normalized_rmse,nested_macro_normalized_rmse,macro_mae,macro_rmse,macro_r2,delta_normalized_rmse_vs_linear,delta_normalized_rmse_vs_quadratic,delta_macro_rmse_vs_linear,delta_macro_rmse_vs_quadratic
direct_only,q_huber_unicode_broad_sensitivity,test_1m,p_plus_Qcovered,248,0.7405173735795912,,0.4736512504382326,0.5470364378566033,0.419381466544437,0.148754176967823,0.18895669004082594,0.10484597298188963,0.13149734866439478
direct_only,q_huber_unicode_broad_sensitivity,test_60m,p_only_linear,248,2.4113288925839558,,1.4852942943409944,1.5302848945376746,-8.07895208355578,0.0,0.0321580274339186,0.0,0.02481344295403165
direct_only,q_huber_unicode_broad_sensitivity,test_60m,p_only_quadratic,248,2.379170865150037,,1.4609574536238439,1.505471451583643,-7.802943777920542,-0.0321580274339186,0.0,-0.02481344295403165,0.0
direct_only,q_huber_unicode_broad_sensitivity,test_60m,p_plus_Qcovered,248,2.2886329216089005,,1.4305153509291346,1.4839616979927126,-7.471685510272345,-0.12269597097505525,-0.09053794354113665,-0.046323196544961975,-0.021509753590930325
direct_only,q_huber_unicode_broad_sensitivity,train_1m_nested_cv,p_only_linear,478,0.6276314473986325,0.6276280159564297,0.39904274222667085,0.4720482905150977,0.6062195342653793,0.0,0.03243974876169642,0.0,0.018407476061234773
direct_only,q_huber_unicode_broad_sensitivity,train_1m_nested_cv,p_only_quadratic,478,0.5951916986369361,0.5951699820206279,0.3613781520903568,0.45364081445386295,0.6458516760911107,-0.03243974876169642,0.0,-0.018407476061234773,0.0
direct_only,q_huber_unicode_broad_sensitivity,train_1m_nested_cv,p_plus_Qcovered,478,0.7633467512432077,0.7633345098812614,0.48219970978290055,0.5667227974455217,0.4177138387174846,0.1357153038445752,0.16815505260627162,0.09467450693042395,0.11308198299165872
direct_plus_near,q_equal_candidate,test_1b,p_only_linear,64,5.231228919380206,,3.178108678458561,3.1920287165674135,-807.2899397179897,0.0,0.278348115366021,0.0,0.20591418763736735
direct_plus_near,q_equal_candidate,test_1b,p_only_quadratic,64,4.952880804014185,,2.9665301935040946,2.986114528930046,-674.416969778876,-0.278348115366021,0.0,-0.20591418763736735,0.0
direct_plus_near,q_equal_candidate,test_1b,p_plus_Qcovered,64,5.085670845281293,,3.0822164604104816,3.0877103484737276,-786.569861862784,-0.14555807409891308,0.13279004126710792,-0.10431836809368589,0.10159581954368146
direct_plus_near,q_equal_candidate,test_1m,p_only_linear,256,0.5864805006289184,,0.38741539923748436,0.4534345272400919,0.62000408434036,0.0,0.04657896546102236,0.0,0.033708885349878315
direct_plus_near,q_equal_candidate,test_1m,p_only_quadratic,256,0.5399015351678961,,0.3426549480087221,0.4197256418902136,0.6812692083041889,-0.04657896546102236,0.0,-0.033708885349878315,0.0
direct_plus_near,q_equal_candidate,test_1m,p_plus_Qcovered,256,0.7073689320893248,,0.47375012977096886,0.5418421206537802,0.4566642653323145,0.1208884314604064,0.16746739692142876,0.08840759341368831,0.12211647876356663
direct_plus_near,q_equal_candidate,test_60m,p_only_linear,256,2.3701698780951617,,1.5084256483068448,1.5549394532852483,-7.884918888904583,0.0,0.05201149426702001,0.0,0.04131057999544652
direct_plus_near,q_equal_candidate,test_60m,p_only_quadratic,256,2.3181583838281417,,1.4685256370228659,1.5136288732898018,-7.4459767434792825,-0.05201149426702001,0.0,-0.04131057999544652,0.0
direct_plus_near,q_equal_candidate,test_60m,p_plus_Qcovered,256,2.303234985056311,,1.4637193346623876,1.518080358106021,-7.463427972568206,-0.0669348930388507,-0.014923398771830687,-0.036859095179227364,0.004451484816219153
direct_plus_near,q_equal_candidate,train_1m_nested_cv,p_only_linear,507,0.6302561211684742,0.6301888701005939,0.4133339684640246,0.49039442357049357,0.6027103694500386,0.0,0.04072180727012542,0.0,0.02750586705242203
direct_plus_near,q_equal_candidate,train_1m_nested_cv,p_only_quadratic,507,0.5895343138983488,0.5894546772770323,0.37022197035217064,0.46288855651807154,0.6522530622912478,-0.04072180727012542,0.0,-0.02750586705242203,0.0
