scenario,candidate,source_domain,all_a1_domain_score,scenario_domain_score,all_a1_rank_1_is_highest_score,scenario_rank_1_is_highest_score,rank_shift,seven_domain_rank_spearman,all_a1_macro_domain_score,scenario_macro_domain_score,macro_delta
exclude_7_unit_ambiguous_fields,q_huber,stackexchange,0.5183681310908792,0.5668684609912145,4.0,2.0,-2.0,0.7500000000000002,0.49847810484764643,0.5038588427998096,0.005380737952163206
exclude_7_unit_ambiguous_fields,q_huber,wikipedia,0.4787129620836854,0.49128043337272764,5.0,5.0,0.0,0.7500000000000002,0.49847810484764643,0.5038588427998096,0.005380737952163206
huber_delta_0.5x,q_equal,arxiv,0.5320965357791057,0.5320965357791057,3.0,3.0,0.0,1.0,0.4962230100496153,0.4962230100496153,0.0
huber_delta_0.5x,q_equal,book,0.4316026991517443,0.4316026991517443,6.0,6.0,0.0,1.0,0.4962230100496153,0.4962230100496153,0.0
huber_delta_0.5x,q_equal,c4,0.5705254959740866,0.5705254959740866,1.0,1.0,0.0,1.0,0.4962230100496153,0.4962230100496153,0.0
huber_delta_0.5x,q_equal,commoncrawl,0.5340113140988176,0.5340113140988176,2.0,2.0,0.0,1.0,0.4962230100496153,0.4962230100496153,0.0
huber_delta_0.5x,q_equal,github,0.40449680208832284,0.40449680208832284,7.0,7.0,0.0,1.0,0.4962230100496153,0.4962230100496153,0.0
huber_delta_0.5x,q_equal,stackexchange,0.5173367560072943,0.5173367560072943,4.0,4.0,0.0,1.0,0.4962230100496153,0.4962230100496153,0.0
huber_delta_0.5x,q_equal,wikipedia,0.48349146724793535,0.48349146724793535,5.0,5.0,0.0,1.0,0.4962230100496153,0.4962230100496153,0.0
huber_delta_0.5x,q_huber,arxiv,0.5613319908558356,0.6069135312614282,2.0,1.0,-1.0,0.9642857142857145,0.49847810484764643,0.5058525979483373,0.0073744931006908265
huber_delta_0.5x,q_huber,book,0.42874874466340707,0.45694547803648966,6.0,6.0,0.0,0.9642857142857145,0.49847810484764643,0.5058525979483373,0.0073744931006908265
huber_delta_0.5x,q_huber,c4,0.5767322748885473,0.5871203368212665,1.0,2.0,1.0,0.9642857142857145,0.49847810484764643,0.5058525979483373,0.0073744931006908265
huber_delta_0.5x,q_huber,commoncrawl,0.5359722946905645,0.5433848710909235,3.0,3.0,0.0,0.9642857142857145,0.49847810484764643,0.5058525979483373,0.0073744931006908265
huber_delta_0.5x,q_huber,github,0.3894803356606058,0.3607340296073982,7.0,7.0,0.0,0.9642857142857145,0.49847810484764643,0.5058525979483373,0.0073744931006908265
huber_delta_0.5x,q_huber,stackexchange,0.5183681310908792,0.5204179963070654,4.0,4.0,0.0,0.9642857142857145,0.49847810484764643,0.5058525979483373,0.0073744931006908265
huber_delta_0.5x,q_huber,wikipedia,0.4787129620836854,0.4654519425137895,5.0,5.0,0.0,0.9642857142857145,0.49847810484764643,0.5058525979483373,0.0073744931006908265
huber_delta_2x,q_equal,arxiv,0.5320965357791057,0.5320965357791057,3.0,3.0,0.0,1.0,0.4962230100496153,0.4962230100496153,0.0
huber_delta_2x,q_equal,book,0.4316026991517443,0.4316026991517443,6.0,6.0,0.0,1.0,0.4962230100496153,0.4962230100496153,0.0
huber_delta_2x,q_equal,c4,0.5705254959740866,0.5705254959740866,1.0,1.0,0.0,1.0,0.4962230100496153,0.4962230100496153,0.0
huber_delta_2x,q_equal,commoncrawl,0.5340113140988176,0.5340113140988176,2.0,2.0,0.0,1.0,0.4962230100496153,0.4962230100496153,0.0
huber_delta_2x,q_equal,github,0.40449680208832284,0.40449680208832284,7.0,7.0,0.0,1.0,0.4962230100496153,0.4962230100496153,0.0
huber_delta_2x,q_equal,stackexchange,0.5173367560072943,0.5173367560072943,4.0,4.0,0.0,1.0,0.4962230100496153,0.4962230100496153,0.0
huber_delta_2x,q_equal,wikipedia,0.48349146724793535,0.48349146724793535,5.0,5.0,0.0,1.0,0.4962230100496153,0.4962230100496153,0.0
huber_delta_2x,q_huber,arxiv,0.5613319908558356,0.5319901909303564,2.0,3.0,1.0,0.9642857142857145,0.49847810484764643,0.4962008992080685,-0.0022772056395779505
huber_delta_2x,q_huber,book,0.42874874466340707,0.4315376338842061,6.0,6.0,0.0,0.9642857142857145,0.49847810484764643,0.4962008992080685,-0.0022772056395779505
huber_delta_2x,q_huber,c4,0.5767322748885473,0.5705430638203186,1.0,1.0,0.0,0.9642857142857145,0.49847810484764643,0.4962008992080685,-0.0022772056395779505
huber_delta_2x,q_huber,commoncrawl,0.5359722946905645,0.5339910711639764,3.0,2.0,-1.0,0.9642857142857145,0.49847810484764643,0.4962008992080685,-0.0022772056395779505
huber_delta_2x,q_huber,github,0.3894803356606058,0.4044490960956839,7.0,7.0,0.0,0.9642857142857145,0.49847810484764643,0.4962008992080685,-0.0022772056395779505
huber_delta_2x,q_huber,stackexchange,0.5183681310908792,0.517354279049739,4.0,4.0,0.0,0.9642857142857145,0.49847810484764643,0.4962008992080685,-0.0022772056395779505
huber_delta_2x,q_huber,wikipedia,0.4787129620836854,0.4835409595121991,5.0,5.0,0.0,0.9642857142857145,0.49847810484764643,0.4962008992080685,-0.0022772056395779505
unicode_broad_clean_a1,q_equal,arxiv,0.5320965357791057,0.5321021754042565,3.0,3.0,0.0,1.0,0.4962230100496153,0.4962416776553926,1.8667605777344942e-05
unicode_broad_clean_a1,q_equal,book,0.4316026991517443,0.4317234929528393,6.0,6.0,0.0,1.0,0.4962230100496153,0.4962416776553926,1.8667605777344942e-05
unicode_broad_clean_a1,q_equal,c4,0.5705254959740866,0.5705236232602093,1.0,1.0,0.0,1.0,0.4962230100496153,0.4962416776553926,1.8667605777344942e-05
unicode_broad_clean_a1,q_equal,commoncrawl,0.5340113140988176,0.5340168401826961,2.0,2.0,0.0,1.0,0.4962230100496153,0.4962416776553926,1.8667605777344942e-05
unicode_broad_clean_a1,q_equal,github,0.40449680208832284,0.40449766415134825,7.0,7.0,0.0,1.0,0.4962230100496153,0.4962416776553926,1.8667605777344942e-05
unicode_broad_clean_a1,q_equal,stackexchange,0.5173367560072943,0.5173371268191307,4.0,4.0,0.0,1.0,0.4962230100496153,0.4962416776553926,1.8667605777344942e-05
unicode_broad_clean_a1,q_equal,wikipedia,0.48349146724793535,0.48349082081726813,5.0,5.0,0.0,1.0,0.4962230100496153,0.4962416776553926,1.8667605777344942e-05
unicode_broad_clean_a1,q_huber,arxiv,0.5613319908558356,0.5612832361062718,2.0,2.0,0.0,1.0,0.49847810484764643,0.4984565630720602,-2.154177558622017e-05
unicode_broad_clean_a1,q_huber,book,0.42874874466340707,0.42866589956467216,6.0,6.0,0.0,1.0,0.49847810484764643,0.4984565630720602,-2.154177558622017e-05
