source,g_function,edge_id,edge_kind,bootstrap_replicates,both_feasible_replicates,boundary_replicates,configuration_change_frequency,configuration_change_95pct,cost_share_tv_p05,cost_share_change_frequency,delta_Q_median
B8_calibrated,power,T22,adjacent_context,1000,1000,0,0.0,False,0.2916984371927054,1.0,0.0
B8_calibrated,logarithmic,T01,adjacent_budget,1000,1000,0,1.0,True,6.245004513516506e-17,0.0,0.0
B8_calibrated,logarithmic,T02,adjacent_budget,1000,1000,0,1.0,True,5.551115123125783e-17,0.0,0.0
B8_calibrated,logarithmic,T03,adjacent_budget,1000,1000,0,1.0,True,5.551115123125783e-17,0.0,0.0
B8_calibrated,logarithmic,T04,adjacent_budget,1000,1000,0,1.0,True,0.0,0.0,0.0
B8_calibrated,logarithmic,T05,adjacent_budget,1000,1000,0,1.0,True,6.938893903907228e-17,0.0,0.0
B8_calibrated,logarithmic,T06,adjacent_budget,1000,1000,0,1.0,True,8.326672684688674e-17,0.0,0.0
B8_calibrated,logarithmic,T07,adjacent_budget,1000,1000,0,1.0,True,2.7755575615628914e-17,0.0,0.0
B8_calibrated,logarithmic,T08,adjacent_budget,1000,1000,0,1.0,True,5.551115123125783e-17,0.0,0.0
B8_calibrated,logarithmic,T09,adjacent_budget,1000,0,1000,nan,,nan,nan,nan
B8_calibrated,logarithmic,T10,adjacent_budget,1000,1000,0,1.0,True,2.7755575615628914e-17,0.0,0.0
B8_calibrated,logarithmic,T11,adjacent_context,1000,1000,0,0.0,False,0.05622724992754887,1.0,0.0
B8_calibrated,logarithmic,T12,adjacent_context,1000,1000,0,1.0,True,0.09436378852524532,1.0,0.0
B8_calibrated,logarithmic,T13,adjacent_context,1000,1000,0,1.0,True,0.30755426971292055,1.0,0.0
B8_calibrated,logarithmic,T14,adjacent_context,1000,0,1000,nan,,nan,nan,nan
B8_calibrated,logarithmic,T15,adjacent_context,1000,1000,0,1.0,True,0.05622724992754877,1.0,0.0
B8_calibrated,logarithmic,T16,adjacent_context,1000,1000,0,1.0,True,0.09436378852524535,1.0,0.0
B8_calibrated,logarithmic,T17,adjacent_context,1000,1000,0,1.0,True,0.3075542697129206,1.0,0.0
B8_calibrated,logarithmic,T18,adjacent_context,1000,1000,0,1.0,True,0.29169843719270533,1.0,0.0
B8_calibrated,logarithmic,T19,adjacent_context,1000,1000,0,0.0,False,0.05622724992754882,1.0,0.0
B8_calibrated,logarithmic,T20,adjacent_context,1000,1000,0,0.0,False,0.09436378852524538,1.0,0.0
B8_calibrated,logarithmic,T21,adjacent_context,1000,1000,0,0.0,False,0.3075542697129205,1.0,0.0
B8_calibrated,logarithmic,T22,adjacent_context,1000,1000,0,0.0,False,0.2916984371927054,1.0,0.0
