split,role,model,n_recipes,n_targets,macro_mae,macro_rmse,macro_normalized_rmse,macro_r2,macro_spearman_rho,worst_rmse_target,worst_rmse,nested_macro_normalized_rmse,mapping_scenario,q_scenario
test_1m,heldout_same_scale_previously_seen,p_only_linear,256,13,0.38741539923748436,0.4534345272400919,0.5864805006289184,0.62000408434036,0.8336013015652235,metric/the_pile_dm_mathematics_val_loss,1.1659224546534066,,direct_plus_near,q_equal_candidate
test_1m,heldout_same_scale_previously_seen,p_only_quadratic,256,13,0.3426549480087221,0.4197256418902136,0.5399015351678961,0.6812692083041889,0.8439717876824481,metric/the_pile_dm_mathematics_val_loss,1.2031811816376563,,direct_plus_near,q_equal_candidate
test_1m,heldout_same_scale_previously_seen,p_plus_Qcovered,256,13,0.47375012977096886,0.5418421206537802,0.7073689320893248,0.4566642653323145,0.7521439842773388,metric/the_pile_dm_mathematics_val_loss,1.5090442525602,,direct_plus_near,q_equal_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_linear,256,13,1.5084256483068448,1.5549394532852483,2.3701698780951617,-7.884918888904583,0.8317844692501364,metric/the_pile_github_val_loss,2.61858164096134,,direct_plus_near,q_equal_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_quadratic,256,13,1.4685256370228659,1.5136288732898018,2.3181583838281417,-7.4459767434792825,0.8459472441326127,metric/the_pile_github_val_loss,2.541189506129987,,direct_plus_near,q_equal_candidate
test_60m,heldout_cross_scale_previously_seen,p_plus_Qcovered,256,13,1.4637193346623876,1.518080358106021,2.303234985056311,-7.463427972568206,0.7465246293818335,metric/the_pile_github_val_loss,2.504262162027862,,direct_plus_near,q_equal_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_linear,64,13,3.178108678458561,3.1920287165674135,5.231228919380206,-807.2899397179897,0.7314032121724429,metric/the_pile_github_val_loss,4.4140042337570256,,direct_plus_near,q_equal_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_quadratic,64,13,2.9665301935040946,2.986114528930046,4.952880804014185,-674.416969778876,0.8023175542406311,metric/the_pile_github_val_loss,4.056025553155523,,direct_plus_near,q_equal_candidate
test_1b,heldout_cross_scale_previously_seen,p_plus_Qcovered,64,13,3.0822164604104816,3.0877103484737276,5.085670845281293,-786.569861862784,0.7263313609467456,metric/the_pile_github_val_loss,4.187826614686284,,direct_plus_near,q_equal_candidate
test_1m,heldout_same_scale_previously_seen,p_only_linear,256,13,0.38741539923748436,0.4534345272400919,0.5864805006289184,0.62000408434036,0.8336013015652235,metric/the_pile_dm_mathematics_val_loss,1.1659224546534066,,direct_plus_near,q_huber_candidate
test_1m,heldout_same_scale_previously_seen,p_only_quadratic,256,13,0.3426549480087221,0.4197256418902136,0.5399015351678961,0.6812692083041889,0.8439717876824481,metric/the_pile_dm_mathematics_val_loss,1.2031811816376563,,direct_plus_near,q_huber_candidate
test_1m,heldout_same_scale_previously_seen,p_plus_Qcovered,256,13,0.47481288186016424,0.5441476399984277,0.7108369164712173,0.4504310041244475,0.7524500083631177,metric/the_pile_dm_mathematics_val_loss,1.5089553754182887,,direct_plus_near,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_linear,256,13,1.5084256483068448,1.5549394532852483,2.3701698780951617,-7.884918888904583,0.8317844692501364,metric/the_pile_github_val_loss,2.61858164096134,,direct_plus_near,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_quadratic,256,13,1.4685256370228659,1.5136288732898018,2.3181583838281417,-7.4459767434792825,0.8459472441326127,metric/the_pile_github_val_loss,2.541189506129987,,direct_plus_near,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_plus_Qcovered,256,13,1.4594682137616486,1.5139373803600227,2.289534016537623,-7.404010405167999,0.7467684252689403,metric/the_pile_github_val_loss,2.4740820401523393,,direct_plus_near,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_linear,64,13,3.178108678458561,3.1920287165674135,5.231228919380206,-807.2899397179897,0.7314032121724429,metric/the_pile_github_val_loss,4.4140042337570256,,direct_plus_near,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_quadratic,64,13,2.9665301935040946,2.986114528930046,4.952880804014185,-674.416969778876,0.8023175542406311,metric/the_pile_github_val_loss,4.056025553155523,,direct_plus_near,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_plus_Qcovered,64,13,3.0779785710077947,3.083483816162966,5.070259696524969,-787.1643766983402,0.7264969005353621,metric/the_pile_github_val_loss,4.158360752476781,,direct_plus_near,q_huber_candidate
test_1m,heldout_same_scale_previously_seen,p_only_linear,256,13,0.38741539923748436,0.4534345272400919,0.5864805006289184,0.62000408434036,0.8336013015652235,metric/the_pile_dm_mathematics_val_loss,1.1659224546534066,,direct_plus_near,q_huber_unicode_broad_sensitivity
