split,role,model,target,n,mae,rmse,r2,spearman_rho,normalized_rmse,mapping_scenario,q_scenario
test_1m,heldout_same_scale_previously_seen,p_plus_Qcovered,metric/the_pile_ubuntu_irc_val_loss,248,0.9050276457407697,0.9791642131928335,0.040921575774735985,0.4242830011439253,0.9699141445502214,direct_only,q_huber_candidate
test_1m,heldout_same_scale_previously_seen,p_plus_Qcovered,metric/the_pile_hackernews_val_loss,248,0.2737978422371213,0.3250679515725258,0.08032601819522245,0.6357982537437198,0.9810112584837533,direct_only,q_huber_candidate
test_1m,heldout_same_scale_previously_seen,p_plus_Qcovered,metric/the_pile_pubmed_abstracts_val_loss,248,0.25150859253977415,0.32176713482753777,0.6815713546917135,0.8817343292459376,0.5483315180139297,direct_only,q_huber_candidate
test_1m,heldout_same_scale_previously_seen,p_plus_Qcovered,metric/the_pile_uspto_backgrounds_val_loss,248,0.26138051644584914,0.29307483786340827,0.6677940085879635,0.8120256919017326,0.549047087640186,direct_only,q_huber_candidate
test_1m,heldout_same_scale_previously_seen,p_plus_Qcovered,,,,,,,,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_linear,metric/the_pile_arxiv_val_loss,248,1.7025674791640517,1.7618750805511862,-9.768777606971453,0.7573391384527269,1.9163880881686324,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_linear,metric/the_pile_freelaw_val_loss,248,1.3586248938465557,1.424110830859346,-3.8920694370873443,0.7670129387866209,1.842890954745242,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_linear,metric/the_pile_pubmed_central_val_loss,248,1.677874397631809,1.725329909194567,-8.630501505863883,0.8577425806136916,2.0997369980971694,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_linear,metric/the_pile_wikipedia_en_val_loss,248,1.3275122946549232,1.3576072237842112,-6.291540679837519,0.8785047464246434,2.586336656598211,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_linear,metric/the_pile_dm_mathematics_val_loss,248,1.361972134478923,1.500041366075602,-2.931918426080997,0.7435357205234677,0.9897876268142403,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_linear,metric/the_pile_github_val_loss,248,2.5143473635282496,2.5558503463246054,-15.389308994516046,0.8597574311874637,2.727559115555952,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_linear,metric/the_pile_stackexchange_val_loss,248,1.6723685256115657,1.7104018192012291,-9.83093394385013,0.8444993241871758,2.4816014779303806,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_linear,metric/the_pile_gutenberg_pg_19_val_loss,248,0.9743454403926826,0.9964362834372578,-5.655380853047518,0.9003596992121549,2.3328682821981928,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_linear,metric/the_pile_pile_cc_val_loss,248,1.0595682685846697,1.0710272927361077,-10.789802111300006,0.8905356308346879,3.4406669000413115,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_linear,metric/the_pile_ubuntu_irc_val_loss,248,1.9390611445985144,2.0041303813084483,-7.310077119445317,0.7645134541037337,1.9851975574306246,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_linear,metric/the_pile_hackernews_val_loss,248,0.9858156430045519,1.0018884451706538,-9.417718250046642,0.839464951355638,3.023564272339248,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_linear,metric/the_pile_pubmed_abstracts_val_loss,248,1.3430321439091677,1.3684763538947688,-5.2868149183909345,0.913979019119445,2.3320551892270722,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_linear,metric/the_pile_uspto_backgrounds_val_loss,248,1.391736097027262,1.4165282964517858,-9.831533239787365,0.8246167378145205,2.653727428109144,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_linear,,,,,,,,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_quadratic,metric/the_pile_arxiv_val_loss,248,1.6695092516774683,1.723493719118347,-9.30470568076549,0.811592982875737,1.8746407562099003,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_quadratic,metric/the_pile_freelaw_val_loss,248,1.3318416640106754,1.3841953548749448,-3.6216793267805887,0.8114820520163454,1.7912377631171603,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_quadratic,metric/the_pile_pubmed_central_val_loss,248,1.623677070562928,1.6681792953893333,-8.003058139513806,0.8731194859102074,2.030184353335547,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_quadratic,metric/the_pile_wikipedia_en_val_loss,248,1.3371031573216756,1.3572436068763225,-6.287635319924827,0.8831937387790683,2.585643940972251,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_quadratic,metric/the_pile_dm_mathematics_val_loss,248,1.3205539003625757,1.495797368606252,-2.9097011109110524,0.666199603166486,0.9869872665852532,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_quadratic,metric/the_pile_github_val_loss,248,2.4759338014331655,2.512098328747511,-14.83299485995587,0.899931710648261,2.6808677220093866,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_quadratic,metric/the_pile_stackexchange_val_loss,248,1.6375235263180676,1.6646474709903285,-9.259215635009133,0.8839041683253847,2.415217043075804,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_quadratic,metric/the_pile_gutenberg_pg_19_val_loss,248,0.9677222932531306,0.9872418329579008,-5.53312467160336,0.9079289601923431,2.3113421271875154,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_quadratic,metric/the_pile_pile_cc_val_loss,248,1.0641681945374468,1.0726822152163675,-10.826264828507666,0.9160599561626419,3.445983325718399,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_quadratic,metric/the_pile_ubuntu_irc_val_loss,248,1.8923376850724907,1.9831316422079828,-7.136847917450709,0.6656229200463865,1.964397191366541,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_quadratic,metric/the_pile_hackernews_val_loss,248,0.9771284361624252,0.9932724759341254,-9.239309585962038,0.8305582261132817,2.997562438621419,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_quadratic,metric/the_pile_pubmed_abstracts_val_loss,248,1.315524610709204,1.3335574619870418,-4.970071708572162,0.9394474856458614,2.272549021770315,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_quadratic,metric/the_pile_uspto_backgrounds_val_loss,248,1.3794233056887193,1.3955880976809,-9.513660328010355,0.8675304587817116,2.614498010689421,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_quadratic,,,,,,,,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_plus_Qcovered,metric/the_pile_arxiv_val_loss,248,2.0942367147715144,2.1276264545455725,-14.703879178783424,0.7698790460260789,2.3142151441792524,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_plus_Qcovered,metric/the_pile_freelaw_val_loss,248,1.3060007557165665,1.3800193823998748,-3.5938351463459624,0.7470878682550497,1.7858337863094507,direct_only,q_huber_candidate
