publication_year,record_count,calendar_coverage_status,training_compute_scalar_n,training_compute_median_FLOP,training_compute_p90_FLOP,training_compute_confident_scalar_n,dataset_size_scalar_n,dataset_size_median_tokens,dataset_size_p90_tokens,dataset_size_confident_scalar_n,parameter_count_scalar_n,parameter_count_median,parameter_count_p90,parameter_count_confident_scalar_n,confidence_confident_n,confidence_likely_n,confidence_unknown_n,confidence_speculative_n,confidence_blank_n,open_weights_yes_n,open_weights_no_n,open_weights_unknown_n,numerical_format_counts,estimation_method_counts,cutoff,summary_scope,smoke_run
1992,5,calendar_year_ended_before_cutoff,3,1403117760.0,14586006721818.164,1,5,1612.0,3791650.8000000007,2,4,1872.0,18273.400000000005,1,2,2,0,1,0,0,0,5,"{""<blank>"": 5}","{""<blank>"": 2, ""Operation counting"": 2, ""Third-party estimation,Operation counting,Hardware"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1993,5,calendar_year_ended_before_cutoff,3,17534400000.0,10299162990489.602,1,3,7701.0,23081623.400000002,1,3,5620.0,1327815.2000000002,1,2,1,0,1,1,0,1,4,"{""<blank>"": 5}","{""<blank>"": 2, ""Hardware"": 1, ""Operation counting"": 2}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1994,7,calendar_year_ended_before_cutoff,5,453600000000.0,11516632325070.402,1,5,600000.0,6476800.0,1,6,139580.5,1415562.0,1,1,2,0,2,2,0,0,7,"{""<blank>"": 7}","{""<blank>"": 2, ""Hardware"": 2, ""Operation counting"": 3}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1995,5,calendar_year_ended_before_cutoff,1,195544800000.0,195544800000.0,0,3,60000.0,60000.0,0,2,50216400.0,90043280.0,0,0,1,1,0,3,0,0,5,"{""<blank>"": 5}","{""<blank>"": 4, ""Operation counting"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1996,4,calendar_year_ended_before_cutoff,2,453796608000.0,796146201600.0,2,4,52375.0,129495.30000000002,3,2,10029.5,12891.5,2,3,0,0,0,1,0,0,4,"{""<blank>"": 4}","{""<blank>"": 2, ""Operation counting"": 2}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1997,7,calendar_year_ended_before_cutoff,2,15771715800000.0,28363943160000.0,2,5,142910.0,17621200.0,2,4,11752.0,26310.500000000004,2,2,0,1,1,3,0,1,6,"{""<blank>"": 7}","{""<blank>"": 5, ""Operation counting"": 2}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1998,4,calendar_year_ended_before_cutoff,2,1518813878016.0093,2552512855603.202,1,1,60000.0,60000.0,1,2,33756.0,54751.2,1,1,0,0,0,3,0,0,4,"{""<blank>"": 4}","{""<blank>"": 2, ""Operation counting"": 1, ""Third-party estimation"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
1999,7,calendar_year_ended_before_cutoff,3,3864000000000.0,7183680000000.0,0,6,58750.0,70835000.0,0,4,33552.0,98434.0,0,0,2,1,1,3,0,2,5,"{""<blank>"": 7}","{""<blank>"": 4, ""Operation counting"": 3}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
2000,5,calendar_year_ended_before_cutoff,2,3195405000000000.0,5710281000000000.0,2,4,76616.0,22429769.600000005,2,3,3925310.0,6310646.0,2,2,0,1,0,2,0,0,5,"{""<blank>"": 5}","{""<blank>"": 3, ""Operation counting"": 2}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
2001,4,calendar_year_ended_before_cutoff,1,63000000000000.0,63000000000000.0,0,2,379308.0,678754.4,0,1,12000.0,12000.0,0,1,1,2,0,0,0,0,4,"{""<blank>"": 4}","{""<blank>"": 3, ""Operation counting"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
2002,6,calendar_year_ended_before_cutoff,0,,,0,4,79036.5,680300.0000000001,0,0,,,0,0,0,3,0,3,0,0,6,"{""<blank>"": 6}","{""<blank>"": 6}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
2003,10,calendar_year_ended_before_cutoff,2,899472730000000.0,1513389906000000.0,2,5,13994528.0,17597811.2,2,5,4124233.0,10814114.4,2,2,0,4,1,3,0,2,8,"{""<blank>"": 10}","{""<blank>"": 8, ""Operation counting"": 2}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
2004,8,calendar_year_ended_before_cutoff,3,52603200000000.0,2236184640000000.0,3,4,62150.0,744000.0000000002,2,4,95287.5,2897200.000000001,3,3,0,2,0,3,0,1,7,"{""<blank>"": 8}","{""<blank>"": 5, ""Hardware"": 2, ""Operation counting"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
2005,9,calendar_year_ended_before_cutoff,3,24124575958774.88,97503315191754.98,2,6,520000.0,3198713.0,2,6,112030.5,60736128.0,2,3,1,0,1,4,0,3,6,"{""<blank>"": 9}","{""<blank>"": 6, ""Hardware"": 1, ""Operation counting"": 1, ""Third-party estimation"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
2006,17,calendar_year_ended_before_cutoff,3,97977600000000.0,615755520000000.0,2,10,18330000.0,53099999.99999998,2,7,114662.0,3674034.2,2,2,1,8,0,6,0,4,13,"{""<blank>"": 17}","{""<blank>"": 14, ""Hardware"": 2, ""Operation counting"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
2007,10,calendar_year_ended_before_cutoff,2,1.11124224e+18,1.381805568e+18,0,9,100000000.0,384800000000.0003,0,3,21000000000.0,244200000000.0,0,0,3,3,0,4,0,0,10,"{""<blank>"": 10}","{""<blank>"": 8, ""Hardware"": 2}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
2008,12,calendar_year_ended_before_cutoff,1,1614600000.0,1614600000.0,1,7,14000000.0,984214000.0000002,3,6,2223200.0,7599000.0,3,3,0,5,1,3,1,1,10,"{""<blank>"": 11, ""FP32"": 1}","{""<blank>"": 11, ""Operation counting"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
2009,22,calendar_year_ended_before_cutoff,8,1726045030400000.0,3.029272965419998e+17,6,11,60000.0,6144050000.0,6,12,6308128.0,73803059.20000002,7,8,2,3,1,8,0,5,17,"{""<blank>"": 19, ""FP32"": 3}","{""<blank>"": 15, ""Hardware"": 1, ""Operation counting"": 6}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
2010,19,calendar_year_ended_before_cutoff,9,1456277227200000.0,5.0792e+16,6,15,291600.0,24759999.99999999,6,10,14160003.0,70942400.0,5,6,2,6,2,3,0,5,14,"{""<blank>"": 18, ""FP32"": 1}","{""<blank>"": 10, ""Hardware"": 1, ""Operation counting"": 8}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
2011,17,calendar_year_ended_before_cutoff,5,2.6e+16,4.5891456e+16,1,14,686642.5,620976000.0000008,3,9,255000.0,31961651.200000025,2,3,4,6,0,4,0,4,13,"{""<blank>"": 17}","{""<blank>"": 12, ""Hardware"": 2, ""Hardware,Operation counting"": 1, ""Operation counting"": 1, ""Operation counting,Hardware"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
2012,23,calendar_year_ended_before_cutoff,10,1.448984e+17,4.9019999999999994e+17,5,16,2350000.0,1778800000.0,5,15,9000000.0,641087999.9999998,3,5,4,6,3,5,0,13,10,"{""<blank>"": 20, ""FP32"": 3}","{""<blank>"": 13, ""Hardware"": 2, ""Operation counting"": 6, ""Operation counting,Hardware"": 1, ""Operation counting,Hardware,Third-party estimation"": 1}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
2013,29,calendar_year_ended_before_cutoff,13,3.888e+16,1.1791424000000005e+18,6,23,47040000.0,266000000000.00024,9,17,54000000.0,792000000.0000001,7,10,6,6,2,5,0,5,24,"{""<blank>"": 24, ""FP32"": 5}","{""<blank>"": 17, ""Hardware"": 6, ""Hardware,Third-party estimation"": 1, ""Operation counting"": 3, ""Third-party estimation"": 2}",2025-03-14,scalar numeric values only; Confidence and estimation-method strata retained; C4 is annual background and not joined to C1 models,False
