scenario,dataset,source_domain,candidate,n,domain_score,all_a1_domain_score,delta_from_all_a1,a1_recalibrated_domain_delta,domain_delta_calibration_n,domain_delta_calibration_source
weight_alpha_0.5,a1,book,q_equal,171,0.4316026991517443,0.4316026991517443,0.0,0.08176180550085387,171,all A1 records under this score scenario
weight_alpha_0.5,a1,book,q_huber,171,0.42874874466340707,0.42874874466340707,0.0,0.11353282616335054,171,all A1 records under this score scenario
weight_alpha_0.5,a1,c4,q_equal,10000,0.5705254959740866,0.5705254959740866,0.0,0.1229753931254563,10000,all A1 records under this score scenario
weight_alpha_0.5,a1,c4,q_huber,10000,0.5767322748885473,0.5767322748885473,0.0,0.1313268938649077,10000,all A1 records under this score scenario
weight_alpha_0.5,a1,commoncrawl,q_equal,9640,0.5340113140988176,0.5340113140988176,0.0,0.10943809426202179,9640,all A1 records under this score scenario
weight_alpha_0.5,a1,commoncrawl,q_huber,9640,0.5359722946905645,0.5359722946905645,0.0,0.11742606399728127,9640,all A1 records under this score scenario
weight_alpha_0.5,a1,github,q_equal,10000,0.40449680208832284,0.40449680208832284,0.0,0.08651636395330399,10000,all A1 records under this score scenario
weight_alpha_0.5,a1,github,q_huber,10000,0.3894803356606058,0.3894803356606058,0.0,0.09640248962543342,10000,all A1 records under this score scenario
weight_alpha_0.5,a1,stackexchange,q_equal,10000,0.5173367560072943,0.5173367560072943,0.0,0.09050265449629823,10000,all A1 records under this score scenario
weight_alpha_0.5,a1,stackexchange,q_huber,10000,0.5183681310908792,0.5183681310908792,0.0,0.09457337203560658,10000,all A1 records under this score scenario
weight_alpha_0.5,a1,wikipedia,q_equal,10000,0.48349146724793535,0.48349146724793535,0.0,0.09988050192720736,10000,all A1 records under this score scenario
weight_alpha_0.5,a1,wikipedia,q_huber,10000,0.4787129620836854,0.4787129620836854,0.0,0.1146839871542882,10000,all A1 records under this score scenario
weight_alpha_0.5,a2,arxiv,q_equal,17523,0.5309591176048425,0.5309591176048425,0.0,0.042772343580223186,1419,all A1 records under this score scenario
weight_alpha_0.5,a2,arxiv,q_huber,17523,0.5599738811018025,0.5599738811018025,0.0,0.06606868682625086,1419,all A1 records under this score scenario
weight_alpha_0.5,a3,github,q_equal,203752,0.40393716747452935,0.40393716747452935,0.0,0.08651636395330399,10000,all A1 records under this score scenario
weight_alpha_0.5,a3,github,q_huber,203752,0.38887178212072904,0.38887178212072904,0.0,0.09640248962543342,10000,all A1 records under this score scenario
weight_alpha_1,a1,arxiv,q_equal,1419,0.5320965357791057,0.5320965357791057,0.0,0.042772343580223186,1419,all A1 records under this score scenario
weight_alpha_1,a1,arxiv,q_huber,1419,0.5611675611092952,0.5613319908558356,-0.00016442974654040654,0.06629157356389767,1419,all A1 records under this score scenario
weight_alpha_1,a1,book,q_equal,171,0.4316026991517443,0.4316026991517443,0.0,0.08176180550085387,171,all A1 records under this score scenario
weight_alpha_1,a1,book,q_huber,171,0.42864454513089534,0.42874874466340707,-0.00010419953251172842,0.11355965473986396,171,all A1 records under this score scenario
weight_alpha_1,a1,c4,q_equal,10000,0.5705254959740866,0.5705254959740866,0.0,0.1229753931254563,10000,all A1 records under this score scenario
weight_alpha_1,a1,c4,q_huber,10000,0.5767456165927083,0.5767322748885473,1.3341704161007328e-05,0.1314009852225418,10000,all A1 records under this score scenario
weight_alpha_1,a1,commoncrawl,q_equal,9640,0.5340113140988176,0.5340113140988176,0.0,0.10943809426202179,9640,all A1 records under this score scenario
weight_alpha_1,a1,commoncrawl,q_huber,9640,0.5359463310936423,0.5359722946905645,-2.5963596922196075e-05,0.11731828787550405,9640,all A1 records under this score scenario
weight_alpha_1,a1,github,q_equal,10000,0.40449680208832284,0.40449680208832284,0.0,0.08651636395330399,10000,all A1 records under this score scenario
weight_alpha_1,a1,github,q_huber,10000,0.3894190501303907,0.3894803356606058,-6.128553021511607e-05,0.09630587845102277,10000,all A1 records under this score scenario
weight_alpha_1,a1,stackexchange,q_equal,10000,0.5173367560072943,0.5173367560072943,0.0,0.09050265449629823,10000,all A1 records under this score scenario
weight_alpha_1,a1,stackexchange,q_huber,10000,0.5183808389623312,0.5183681310908792,1.2707871452022346e-05,0.09466084689906981,10000,all A1 records under this score scenario
weight_alpha_1,a1,wikipedia,q_equal,10000,0.48349146724793535,0.48349146724793535,0.0,0.09988050192720736,10000,all A1 records under this score scenario
weight_alpha_1,a1,wikipedia,q_huber,10000,0.4787663568049343,0.4787129620836854,5.339472124887834e-05,0.11449633805503835,10000,all A1 records under this score scenario
weight_alpha_1,a2,arxiv,q_equal,17523,0.5309591176048425,0.5309591176048425,0.0,0.042772343580223186,1419,all A1 records under this score scenario
weight_alpha_1,a2,arxiv,q_huber,17523,0.5598099220403068,0.5599738811018025,-0.00016395906149568873,0.06629157356389767,1419,all A1 records under this score scenario
weight_alpha_1,a3,github,q_equal,203752,0.40393716747452935,0.40393716747452935,0.0,0.08651636395330399,10000,all A1 records under this score scenario
weight_alpha_1,a3,github,q_huber,203752,0.3888123109982846,0.38887178212072904,-5.94711224444211e-05,0.09630587845102277,10000,all A1 records under this score scenario
huber_delta_0.5x,a1,arxiv,q_equal,1419,0.5320965357791057,0.5320965357791057,0.0,0.042772343580223186,1419,all A1 records under this score scenario
huber_delta_0.5x,a1,arxiv,q_huber,1419,0.6069135312614282,0.5613319908558356,0.04558154040559259,0.09545980823479513,1419,all A1 records under this score scenario
huber_delta_0.5x,a1,book,q_equal,171,0.4316026991517443,0.4316026991517443,0.0,0.08176180550085387,171,all A1 records under this score scenario
huber_delta_0.5x,a1,book,q_huber,171,0.45694547803648966,0.42874874466340707,0.028196733373082594,0.1856970156078078,171,all A1 records under this score scenario
huber_delta_0.5x,a1,c4,q_equal,10000,0.5705254959740866,0.5705254959740866,0.0,0.1229753931254563,10000,all A1 records under this score scenario
huber_delta_0.5x,a1,c4,q_huber,10000,0.5871203368212665,0.5767322748885473,0.01038806193271924,0.1574186673477704,10000,all A1 records under this score scenario
huber_delta_0.5x,a1,commoncrawl,q_equal,9640,0.5340113140988176,0.5340113140988176,0.0,0.10943809426202179,9640,all A1 records under this score scenario
huber_delta_0.5x,a1,commoncrawl,q_huber,9640,0.5433848710909235,0.5359722946905645,0.007412576400358972,0.13760581451790932,9640,all A1 records under this score scenario
huber_delta_0.5x,a1,github,q_equal,10000,0.40449680208832284,0.40449680208832284,0.0,0.08651636395330399,10000,all A1 records under this score scenario
huber_delta_0.5x,a1,github,q_huber,10000,0.3607340296073982,0.3894803356606058,-0.028746306053207604,0.12790223018913738,10000,all A1 records under this score scenario
huber_delta_0.5x,a1,stackexchange,q_equal,10000,0.5173367560072943,0.5173367560072943,0.0,0.09050265449629823,10000,all A1 records under this score scenario
huber_delta_0.5x,a1,stackexchange,q_huber,10000,0.5204179963070654,0.5183681310908792,0.0020498652161862196,0.10642992622270062,10000,all A1 records under this score scenario
huber_delta_0.5x,a1,wikipedia,q_equal,10000,0.48349146724793535,0.48349146724793535,0.0,0.09988050192720736,10000,all A1 records under this score scenario
huber_delta_0.5x,a1,wikipedia,q_huber,10000,0.4654519425137895,0.4787129620836854,-0.013261019569895893,0.14912283357577744,10000,all A1 records under this score scenario
huber_delta_0.5x,a2,arxiv,q_equal,17523,0.5309591176048425,0.5309591176048425,0.0,0.042772343580223186,1419,all A1 records under this score scenario
huber_delta_0.5x,a2,arxiv,q_huber,17523,0.6059181200107222,0.5599738811018025,0.04594423890891974,0.09545980823479513,1419,all A1 records under this score scenario
huber_delta_0.5x,a3,github,q_equal,203752,0.40393716747452935,0.40393716747452935,0.0,0.08651636395330399,10000,all A1 records under this score scenario
huber_delta_0.5x,a3,github,q_huber,203752,0.3599616303501332,0.38887178212072904,-0.02891015177059586,0.12790223018913738,10000,all A1 records under this score scenario
huber_delta_2x,a1,arxiv,q_equal,1419,0.5320965357791057,0.5320965357791057,0.0,0.042772343580223186,1419,all A1 records under this score scenario
huber_delta_2x,a1,arxiv,q_huber,1419,0.5319901909303564,0.5613319908558356,-0.02934179992547925,0.04259749983953291,1419,all A1 records under this score scenario
huber_delta_2x,a1,book,q_equal,171,0.4316026991517443,0.4316026991517443,0.0,0.08176180550085387,171,all A1 records under this score scenario
huber_delta_2x,a1,book,q_huber,171,0.4315376338842061,0.42874874466340707,0.002788889220799007,0.08163988102640521,171,all A1 records under this score scenario
huber_delta_2x,a1,c4,q_equal,10000,0.5705254959740866,0.5705254959740866,0.0,0.1229753931254563,10000,all A1 records under this score scenario
huber_delta_2x,a1,c4,q_huber,10000,0.5705430638203186,0.5767322748885473,-0.006189211068228673,0.1228161134785107,10000,all A1 records under this score scenario
huber_delta_2x,a1,commoncrawl,q_equal,9640,0.5340113140988176,0.5340113140988176,0.0,0.10943809426202179,9640,all A1 records under this score scenario
huber_delta_2x,a1,commoncrawl,q_huber,9640,0.5339910711639764,0.5359722946905645,-0.0019812235265881384,0.10933512980858011,9640,all A1 records under this score scenario
huber_delta_2x,a1,github,q_equal,10000,0.40449680208832284,0.40449680208832284,0.0,0.08651636395330399,10000,all A1 records under this score scenario
huber_delta_2x,a1,github,q_huber,10000,0.4044490960956839,0.3894803356606058,0.01496876043507811,0.08638183955856907,10000,all A1 records under this score scenario
huber_delta_2x,a1,stackexchange,q_equal,10000,0.5173367560072943,0.5173367560072943,0.0,0.09050265449629823,10000,all A1 records under this score scenario
huber_delta_2x,a1,stackexchange,q_huber,10000,0.517354279049739,0.5183681310908792,-0.0010138520411402396,0.0905410191142692,10000,all A1 records under this score scenario
huber_delta_2x,a1,wikipedia,q_equal,10000,0.48349146724793535,0.48349146724793535,0.0,0.09988050192720736,10000,all A1 records under this score scenario
huber_delta_2x,a1,wikipedia,q_huber,10000,0.4835409595121991,0.4787129620836854,0.004827997428513697,0.09987389592979214,10000,all A1 records under this score scenario
huber_delta_2x,a2,arxiv,q_equal,17523,0.5309591176048425,0.5309591176048425,0.0,0.042772343580223186,1419,all A1 records under this score scenario
huber_delta_2x,a2,arxiv,q_huber,17523,0.5308528942093513,0.5599738811018025,-0.02912098689245113,0.04259749983953291,1419,all A1 records under this score scenario
huber_delta_2x,a3,github,q_equal,203752,0.40393716747452935,0.40393716747452935,0.0,0.08651636395330399,10000,all A1 records under this score scenario
huber_delta_2x,a3,github,q_huber,203752,0.4038911816274169,0.38887178212072904,0.015019399506687847,0.08638183955856907,10000,all A1 records under this score scenario
weighted_arithmetic_mean,a1,arxiv,q_equal,1419,0.5320965357791057,0.5320965357791057,0.0,0.042772343580223186,1419,all A1 records under this score scenario
weighted_arithmetic_mean,a1,arxiv,q_huber,1419,0.5319901909303564,0.5613319908558356,-0.02934179992547925,0.04259749983953004,1419,all A1 records under this score scenario
weighted_arithmetic_mean,a1,book,q_equal,171,0.4316026991517443,0.4316026991517443,0.0,0.08176180550085387,171,all A1 records under this score scenario
weighted_arithmetic_mean,a1,book,q_huber,171,0.4315376338842061,0.42874874466340707,0.002788889220799007,0.08163988102640488,171,all A1 records under this score scenario
weighted_arithmetic_mean,a1,c4,q_equal,10000,0.5705254959740866,0.5705254959740866,0.0,0.1229753931254563,10000,all A1 records under this score scenario
weighted_arithmetic_mean,a1,c4,q_huber,10000,0.5705430638203186,0.5767322748885473,-0.006189211068228673,0.12281611347850813,10000,all A1 records under this score scenario
weighted_arithmetic_mean,a1,commoncrawl,q_equal,9640,0.5340113140988176,0.5340113140988176,0.0,0.10943809426202179,9640,all A1 records under this score scenario
weighted_arithmetic_mean,a1,commoncrawl,q_huber,9640,0.5339910711639764,0.5359722946905645,-0.0019812235265881384,0.10933512980858287,9640,all A1 records under this score scenario
weighted_arithmetic_mean,a1,github,q_equal,10000,0.40449680208832284,0.40449680208832284,0.0,0.08651636395330399,10000,all A1 records under this score scenario
weighted_arithmetic_mean,a1,github,q_huber,10000,0.4044490960956839,0.3894803356606058,0.01496876043507811,0.08638183955856674,10000,all A1 records under this score scenario
weighted_arithmetic_mean,a1,stackexchange,q_equal,10000,0.5173367560072943,0.5173367560072943,0.0,0.09050265449629823,10000,all A1 records under this score scenario
weighted_arithmetic_mean,a1,stackexchange,q_huber,10000,0.517354279049739,0.5183681310908792,-0.0010138520411402396,0.09054101911426876,10000,all A1 records under this score scenario
weighted_arithmetic_mean,a1,wikipedia,q_equal,10000,0.48349146724793535,0.48349146724793535,0.0,0.09988050192720736,10000,all A1 records under this score scenario
weighted_arithmetic_mean,a1,wikipedia,q_huber,10000,0.4835409595121991,0.4787129620836854,0.004827997428513697,0.0998738959297918,10000,all A1 records under this score scenario
weighted_arithmetic_mean,a2,arxiv,q_equal,17523,0.5309591176048425,0.5309591176048425,0.0,0.042772343580223186,1419,all A1 records under this score scenario
weighted_arithmetic_mean,a2,arxiv,q_huber,17523,0.5308528942093513,0.5599738811018025,-0.02912098689245113,0.04259749983953004,1419,all A1 records under this score scenario
weighted_arithmetic_mean,a3,github,q_equal,203752,0.40393716747452935,0.40393716747452935,0.0,0.08651636395330399,10000,all A1 records under this score scenario
weighted_arithmetic_mean,a3,github,q_huber,203752,0.4038911816274169,0.38887178212072904,0.015019399506687847,0.08638183955856674,10000,all A1 records under this score scenario
exclude_7_unit_ambiguous_fields,a1,arxiv,q_equal,1419,0.5838002700334055,0.5320965357791057,0.05170373425429986,0.045214897492917586,1419,all A1 records under this score scenario
exclude_7_unit_ambiguous_fields,a1,arxiv,q_huber,1419,0.6513836651552456,0.5613319908558356,0.09005167429940997,0.06424300550718318,1419,all A1 records under this score scenario
exclude_7_unit_ambiguous_fields,a1,book,q_equal,171,0.40877960074723596,0.4316026991517443,-0.022823098404508357,0.1115844999917395,171,all A1 records under this score scenario
exclude_7_unit_ambiguous_fields,a1,book,q_huber,171,0.39621873169446253,0.42874874466340707,-0.03253001296894453,0.15662766582779697,171,all A1 records under this score scenario
exclude_7_unit_ambiguous_fields,a1,c4,q_equal,10000,0.5198758243229147,0.5705254959740866,-0.05064967165117196,0.16611023529426797,10000,all A1 records under this score scenario
exclude_7_unit_ambiguous_fields,a1,c4,q_huber,10000,0.5198456772499664,0.5767322748885473,-0.05688659763858084,0.18227570039078417,10000,all A1 records under this score scenario
exclude_7_unit_ambiguous_fields,a1,commoncrawl,q_equal,9640,0.5261491378574856,0.5340113140988176,-0.007862176241332008,0.1294979884697364,9640,all A1 records under this score scenario
exclude_7_unit_ambiguous_fields,a1,commoncrawl,q_huber,9640,0.5262473605676288,0.5359722946905645,-0.009724934122935736,0.1415873027213131,9640,all A1 records under this score scenario
exclude_7_unit_ambiguous_fields,a1,github,q_equal,10000,0.39269531859407714,0.40449680208832284,-0.011801483494245701,0.10367487556590389,10000,all A1 records under this score scenario
exclude_7_unit_ambiguous_fields,a1,github,q_huber,10000,0.375167570567422,0.3894803356606058,-0.014312765093183799,0.12645451331509347,10000,all A1 records under this score scenario
exclude_7_unit_ambiguous_fields,a1,stackexchange,q_equal,10000,0.565441075007973,0.5173367560072943,0.048104319000678686,0.11189112132104453,10000,all A1 records under this score scenario
exclude_7_unit_ambiguous_fields,a1,stackexchange,q_huber,10000,0.5668684609912145,0.5183681310908792,0.04850032990033526,0.11219588963404582,10000,all A1 records under this score scenario
